[2024-07-23 13:58:09.542888] [0x0000007fa7966010] [LogDataTag] [0x00003de4] [1] , Controller Time [s], Algorithm Execution Time [us], Mode [-], Switch button [-], Coefficient of Lift Upper wing [-], Coefficient of Lift Lower wing [-], Coefficient of Lift Left stabilizer [-], Coefficient of Lift Right stabilizer [-], Coefficient of Drag Upper wing [-], Coefficient of Drag Lower wing [-], Coefficient of Drag Left stabilizer [-], Coefficient of Drag Right stabilizer [-], Coefficient of Aero Moment Upper wing [-], Coefficient of Aero Moment Lower wing [-], Coefficient of Aero Moment Left stabilizer [-], Coefficient of Aero Moment Right stabilizer [-], Aero F_x in Quadcopter Frame [N], Aero F_y in Quadcopter Frame [N], Aero F_z in Quadcopter Frame [N], Aero Moment_x in Chosen Frame [Nm], Aero Moment_y in Chosen Frame [Nm], Aero Moment_z in Chosen Frame [Nm], Squared Norm of Velocity [-], Position x [m], Position y [m], Position z [m], Velocity x [m/s], Velocity y [m/s], Velocity z [m/s], Reference Position x [m], Reference Position y [m], Reference Position z [m], Reference Velocity x [m/s], Reference Velocity y [m/s], Reference Velocity z [m/s], Reference Acceleration x [m/s^2], Reference Acceleration y [m/s^2], Reference Acceleration z [m/s^2], User Position x [m], User Position y [m], User Position z [m], User Velocity x [m/s], User Velocity y [m/s], User Velocity z [m/s], User Acceleration x [m/s^2], User Acceleration y [m/s^2], User Acceleration z [m/s^2], Error in x [m], Error in y [m], Error in z [m], Error in vx [m/s], Error in vy [m/s], Error in vz [m/s], Integral Error in x [m], Integral Error in y [m], Integral Error in z [m], Reference Error in x [m], Reference Error in y [m], Reference Error in z [m], Integral Reference Error in x [m], Integral Reference Error in y [m], Integral Reference Error in z [m], Reference Command in x [-], Reference Command in y [-], Reference Command in z [-], mu_baseline x [N], mu_baseline y [N], mu_baseline z [N], mu_adaptive x [N], mu_adaptive y [N], mu_adaptive z [N], mu in Body x [N], mu in Body y [N], mu in Body z [N], Desired Phi [rad], Desired Theta [rad], Desired Psi [rad], Desired Phi Rate [rad/s], Desired Theta Rate [rad/s], Desired Psi Rate [rad/s], Phi in Use [rad], Theta in Use [rad], Psi in Use [rad], Phi Quadcopter [rad], Theta Quadcopter [rad], Psi Quadcopter [rad], Phi Biplane [rad], Theta Biplane [rad], Psi Biplane [rad], Phi Rate in use [rad/s], Theta Rate in use [rad/s], Psi Rate in use [rad/s], Error in Phi [rad], Error in Theta [rad], Error in Psi [rad], Integral Error in Phi [rad], Integral Error in Theta [rad], Integral Error in Psi [rad], Error in Phi Rate [rad/s], Error in Theta Rate [rad/s], Error in Psi Rate [rad/s], Omega Cmd x [-], Omega Cmd y [-], Omega Cmd z [-], Reference Error in omega x [rad/s], Reference Error in omega y [rad/s], Reference Error in omega z [rad/s], Integral Reference Error in omega x [rad/s], Integral Reference Error in omega y [rad/s], Integral Reference Error in omega z [rad/s], Reference omega x [rad/s], Reference omega y [rad/s], Reference omega z [rad/s], Referemce angular acceleration x [rad/s^2], Referemce angular acceleration y [rad/s^2], Referemce angular acceleration z [rad/s^2], omega x [rad/s], omega y [rad/s], omega z [rad/s], tau_baseline x [Nm], tau_baseline y [Nm], tau_baseline z [Nm], tau_adaptive x [Nm], tau_adaptive y [Nm], tau_adaptive z [Nm], Control input 1 [N], Control input 2 [N], Control input 3 [N], Control input 4 [N], Thrust Motor 1 [N], Thrust Motor 2 [N], Thrust Motor 3 [N], Thrust Motor 4 [N], Normalized Thrust 1 [-], Normalized Thrust 2 [-], Normalized Thrust 3 [-], Normalized Thrust 4 [-], error in Omega x [rad/s], error in Omega y [rad/s], error in Omega z [rad/s], 
[2024-07-23 13:58:19.013924] [0x0000007f8defc9a0] [LogDataTag] [0x00003de4] [3226] , 10.0116, 1596, 0, 0, 134.018, 0, 0, -4.86072, -0.650094, 0.00470543, 0.00470543, -0.801785, -0.3, 0, 0, -0.3, -4.65242e-06, -2.1839e-07, 0, 0, 0, 0, 0.000106152, 1.32956e-05, -1.38581e-06, 2.97576e-05, 0.00157212, -0.00322661, 0.00965761, 0, 0, 0, 0, 0, 0, 0, 0, -0.000232196, 0, 0, -2.48078e-09, 0, 0, -8.52002e-07, 0, 0, -0.000219203, 1.32956e-05, -1.38581e-06, 2.97576e-05, 0.00157212, -0.00322661, 0.00965761, 0, 0, 0, 0, 0, 2.48078e-09, 0, 0, 0, 0, 0, -0.000452914, -0.0296112, 0.0598455, -19.3749, 0, 0, 0, -0.0382456, 0.565134, -19.3668, 0.0291723, 0.0019748, 0, 0, 0, 0, -0.0260835, -0.000445791, 4.71075e-05, -0.0260835, -0.000445791, 4.71075e-05, -2.06466e-05, 1.55235, 2.06466e-05, 0.00870667, -0.0241954, 0.00716272, -0.0552558, -0.00242059, 4.71075e-05, 0, 0, 0, 0.00870667, -0.0241954, 0.00716272, 0.00497302, 0.000217804, 4.7399e-06, -0.00497302, -0.000217804, -4.7399e-06, 0, 0, 0, 0, 0, 0, 0.0590859, 0.00480275, -7.89853e-05, 0.00870986, -0.024374, 0.00652925, 0.0311262, 0.00327391, -0.00341795, 0, 0, 0, 19.375, 0.0311262, 0.00327391, -0.00341795, 4.77345, 4.89726, 4.93086, 4.77346, 0.36652, 0.373216, 0.37502, 0.366521, 0.00870986, -0.024374, 0.00652925, 
[2024-07-23 13:58:19.023816] [0x0000007f8defc9a0] [LogDataTag] [0x00003de4] [3230] , 10.0216, 1547, 0, 0, 134.001, 0, 0, -2.00537, -0.649534, 0.00470543, 0.00470543, 0.00472095, -0.3, 0, 0, -0.152411, -4.89994e-06, 2.12849e-06, 0, 0, 0, 0, 0.00012284, 2.8912e-05, -5.78165e-06, 9.96143e-05, 0.00148722, -0.00314788, 0.0105223, 0, 0, 0, 0, 0, -2.32196e-06, 0, 0, -0.000799365, 0, 0, -2.94648e-08, 0, 0, -5.4346e-06, 0, 0, -0.000750141, 2.8912e-05, -5.78165e-06, 9.96143e-05, 0.00148722, -0.00314788, 0.0105246, 1.32956e-07, -1.38581e-08, 2.97576e-07, 0, 0, 2.94648e-08, 0, 0, 2.48078e-11, 0, 0, -0.00162715, -0.0286014, 0.0585616, -19.4021, 0, 0, 0, -0.0370928, 0.563936, -19.394, 0.0290697, 0.00191259, 0, 0.466757, 0.0315968, 0, -0.0260514, -0.000437786, 4.39904e-05, -0.0260514, -0.000437786, 4.39904e-05, -1.91438e-05, 1.55238, 1.91438e-05, 0.012993, -0.0186058, 0.00322631, -0.0551211, -0.00235038, 4.39904e-05, -0.000552558, -2.42059e-05, 4.71075e-07, -0.453764, -0.0502026, 0.00322631, 0.471719, 0.0317977, 0.000827677, -0.471129, -0.0317497, -0.000828467, -4.97302e-05, -2.17804e-06, -4.7399e-08, 0.000590859, 4.80275e-05, -7.89853e-07, 5.69458, 0.385534, 0.00129686, 0.0129944, -0.0186835, 0.00274056, 0.102599, 0.00578744, -0.00140458, 0, 0, 0, 19.4022, 0.102599, 0.00578744, -0.00140458, 4.6302, 5.06399, 5.10057, 4.60743, 0.358678, 0.382114, 0.384049, 0.357422, 0.0124035, -0.0187315, 0.00274135, 
[2024-07-23 13:58:19.033807] [0x0000007f8defc9a0] [LogDataTag] [0x00003de4] [3234] , 10.0316, 1552, 0, 0, 134.001, 0, 0, -2.00537, -0.649534, 0.00470543, 0.00470543, 0.00472095, -0.3, 0, 0, -0.152411, -4.89994e-06, 2.12849e-06, 0, 0, 0, 0, 0.00012284, 2.8912e-05, -5.78165e-06, 9.96143e-05, 0.00148722, -0.00314788, 0.0105223, 0, 0, -2.32196e-08, 0, 0, -1.03156e-05, 0, 0, -0.00169907, 0, 0, -1.34373e-07, 0, 0, -1.69086e-05, 0, 0, -0.00159061, 2.8912e-05, -5.78165e-06, 9.96375e-05, 0.00148722, -0.00314788, 0.0105326, 4.22075e-07, -7.16746e-08, 1.29372e-06, 0, 0, 1.11154e-07, 0, 0, 3.19456e-10, 0, 0, -0.00361986, -0.0286024, 0.0585618, -19.404, 0, 0, 0, -0.0370946, 0.563987, -19.3959, 0.0290694, 0.0019125, 0, 0.595807, 0.0394486, 0, -0.0260514, -0.000437786, 4.39904e-05, -0.0260514, -0.000437786, 4.39904e-05, -1.91438e-05, 1.55238, 1.91438e-05, 0.012993, -0.0186058, 0.00322631, -0.0551208, -0.00235028, 4.39904e-05, -0.00110377, -4.77097e-05, 9.10979e-07, -0.582814, -0.0580544, 0.00322631, 0.600772, 0.0396469, 0.0010322, -0.543235, -0.0357435, -0.00102002, -0.00476102, -0.000319675, -8.33206e-06, 0.0575367, 0.00390336, 1.21787e-05, 6.57218, 0.434216, 0.00159971, 0.0129944, -0.0186835, 0.00274056, 0.122567, 0.00655462, -0.00136884, 0, 0, 0, 19.4041, 0.122567, 0.00655462, -0.00136884, 4.58765, 5.1077, 5.14804, 4.56076, 0.356329, 0.384425, 0.38655, 0.35484, -0.0445423, -0.0225869, 0.00272839, 
[2024-07-23 13:58:19.043590] [0x0000007f8defc9a0] [LogDataTag] [0x00003de4] [3239] , 10.0416, 1375, 0, 0, 0, 0, 0, 0, 0.00470543, 0.00470543, 0.00470543, 0.00470543, 0, 0, 0, 0, 2.37275e-10, 0, 0, 0, 0, 0, 1.96574e-05, -6.07129e-05, -2.42889e-06, 0.000160083, -0.000671721, -0.00424698, 0.00108135, 0, 0, -1.26376e-07, 0, 0, -2.73063e-05, 0, 0, -0.00291314, 0, 0, -4.00275e-07, 0, 0, -3.82228e-05, 0, 0, -0.00272583, -6.07129e-05, -2.42889e-06, 0.00016021, -0.000671721, -0.00424698, 0.00110865, 7.11195e-07, -1.29491e-07, 2.29009e-06, 0, 0, 2.73899e-07, 0, 0, 1.43099e-09, 0, 0, -0.00650242, 0.0146333, 0.0787954, -19.1789, 0, 0, 0, 0.00776285, 0.578589, -19.1703, 0.0301723, -0.000404941, 0, 0.557255, 0.0365901, 0, -0.0260639, -0.000358048, -4.35631e-05, -0.0260639, -0.000358048, -4.35631e-05, 2.41147e-05, 1.55236, -2.41147e-05, -0.0107687, 0.00954842, -0.00378374, -0.0562362, 4.68925e-05, -4.35631e-05, -0.00165498, -7.12125e-05, 1.35088e-06, -0.568024, -0.0270416, -0.00378374, 0.562322, 0.0365736, 0.000954327, -0.439064, -0.0283281, -0.000926151, -0.0101934, -0.00067711, -1.85323e-05, 0.123258, 0.00824553, 2.81758e-05, 7.07195, 0.460907, 0.00548089, -0.01077, 0.00964379, -0.00353362, 0.175101, 0.00492967, 0.00217165, 0, 0, 0, 19.1791, 0.175101, 0.00492967, 0.00217165, 4.41726, 5.18295, 5.19755, 4.38131, 0.346826, 0.388383, 0.389148, 0.344801, -0.134029, 0.00139826, -0.00356179, 
[2024-07-23 13:58:19.053635] [0x0000007f8defc9a0] [LogDataTag] [0x00003de4] [3243] , 10.0516, 1390, 0, 0, 0, 0, 0, 0, 0.00470543, 0.00470543, 0.00470543, 0.00470543, 0, 0, 0, 0, 2.37275e-10, 0, 0, 0, 0, 0, 1.96574e-05, -6.07129e-05, -2.42889e-06, 0.000160083, -0.000671721, -0.00424698, 0.00108135, 0, 0, -3.99438e-07, 0, 0, -5.64377e-05, 0, 0, -0.00443839, 0, 0, -9.4213e-07, 0, 0, -7.24121e-05, 0, 0, -0.00415207, -6.07129e-05, -2.42889e-06, 0.000160483, -0.000671721, -0.00424698, 0.00113778, 1.04066e-07, -1.5378e-07, 3.89219e-06, 0, 0, 5.42691e-07, 0, 0, 4.16998e-09, 0, 0, -0.0103757, 0.0146354, 0.0787955, -19.1826, 0, 0, 0, 0.00776365, 0.578686, -19.1741, 0.0301715, -0.000404904, 0, 0.468778, -0.0076011, 0, -0.0260639, -0.000358048, -4.35631e-05, -0.0260639, -0.000358048, -4.35631e-05, 2.41147e-05, 1.55236, -2.41147e-05, -0.0107687, 0.00954842, -0.00378374, -0.0562354, 4.68557e-05, -4.35631e-05, -0.00221734, -7.07436e-05, 9.15252e-07, -0.479547, 0.0171495, -0.00378374, 0.473847, -0.00760251, -0.000197331, -0.279869, 0.0204571, 0.000280316, -0.014584, -0.000960391, -2.77938e-05, 0.193978, 0.0128546, 8.29847e-05, 6.51342, -0.0397783, 0.00480359, -0.01077, 0.00964379, -0.00353362, 0.20347, 0.00232482, 0.00222308, 0, 0, 0, 19.1828, 0.20347, 0.00232482, 0.00222308, 4.34757, 5.25476, 5.25575, 4.32472, 0.342895, 0.392135, 0.392187, 0.3416, -0.204748, -0.00321081, -0.0036166, 
[2024-07-23 13:58:19.063827] [0x0000007f8defc9a0] [LogDataTag] [0x00003de4] [3248] , 10.0616, 1479, 0, 0, 0, 0, 0, -4.85157, 0.00470543, 0.00470543, 0.00470543, -0.80038, 0, 0, 0, -0.3, -2.669e-08, -1.53033e-07, 0, 0, 0, 0, 9.48573e-05, -0.000118474, 6.02007e-06, 0.000155896, -0.00202553, -0.00353522, 0.00884629, 0, 0, -9.63815e-07, 0, 0, -0.000100822, 0, 0, -0.00625381, 0, 0, -1.89947e-06, 0, 0, -0.000122145, 0, 0, -0.00585342, -0.000118474, 6.02007e-06, 0.00015686, -0.00202553, -0.00353522, 0.00894711, -5.03063e-07, -1.78069e-07, 5.49702e-06, 0, 0, 9.35659e-07, 0, 0, 9.59689e-09, 0, 0, -0.0153101, 0.0418061, 0.0652701, -19.3779, 0, 0, 0, 0.0331154, 0.570618, -19.3696, 0.0294509, -0.00170966, 0, 0.354831, -0.0258284, 0, -0.0260828, -0.000448712, 6.70136e-05, -0.0260828, -0.000448712, 6.70136e-05, -3.05807e-05, 1.55235, 3.05807e-05, 0.00640207, -0.00325037, 0.0241856, -0.0555338, 0.00126095, 6.70136e-05, -0.00277969, -7.02751e-05, 4.79621e-07, -0.348429, 0.0225781, 0.0241856, 0.359839, -0.0259328, -0.0006779, -0.100727, 0.0383896, 0.00080892, -0.0173827, -0.00075582, -2.49906e-05, 0.259112, 0.0124568, 0.000131021, 4.44973, -0.251483, 0.00352851, 0.00641292, -0.00388002, 0.0240926, 0.185771, 0.00142131, -0.0113007, 0, 0, 0, 19.378, 0.185771, 0.00142131, -0.0113007, 4.40079, 5.23266, 5.29551, 4.44906, 0.345899, 0.390983, 0.394255, 0.348611, -0.252699, -0.0163368, 0.0239615, 
[2024-07-23 13:58:19.073608] [0x0000007f8defc9a0] [LogDataTag] [0x00003de4] [3252] , 10.0716, 1390, 0, 0, 0, 0, 0, -2.00476, 0.00470543, 0.00470543, 0.00470543, 0.00472265, 0, 0, 0, -0.152293, -4.65648e-11, -3.15826e-08, 0, 0, 0, 0, 4.73755e-05, -0.000204928, 9.96888e-06, 0.000140592, -0.00532765, -0.00356007, -0.00251348, 0, 0, -1.97203e-06, 0, 0, -0.00016336, 0, 0, -0.00835969, 0, 0, -3.44633e-06, 0, 0, -0.000190363, 0, 0, -0.00782769, -0.000204928, 9.96888e-06, 0.000142564, -0.00532765, -0.00356007, -0.00235012, -1.6878e-06, -1.17868e-07, 7.06561e-06, 0, 0, 1.4743e-06, 0, 0, 1.89535e-08, 0, 0, -0.0214166, 0.106116, 0.0655733, -19.1034, 0, 0, 0, 0.100531, 0.566168, -19.0951, 0.0296408, -0.00526473, 0, 0.236392, -0.050592, 0, -0.0262111, -0.000293822, 0.000427482, -0.0262111, -0.000293822, 0.000427482, -0.000211815, 1.55226, 0.000211815, -0.036149, 0.0172696, 0.0367515, -0.0558519, 0.0049709, 0.000427482, -0.00333503, -5.76656e-05, 1.14976e-06, -0.272541, 0.0678617, 0.0367515, 0.24143, -0.0510215, -0.00134619, 0.0621791, 0.0609634, 0.0015125, -0.01839, -0.000371923, -1.69014e-05, 0.303609, 0.00994199, 0.000166306, 1.42773, -0.74189, -0.00587484, -0.0361382, 0.0163005, 0.0371915, 0.141419, -0.00862793, -0.0177766, 0, 0, 0, 19.1038, 0.141419, -0.00862793, -0.0177766, 4.39071, 5.07377, 5.11693, 4.52235, 0.345331, 0.382632, 0.384912, 0.352705, -0.339748, 0.00635853, 0.0370252, 
[2024-07-23 13:58:19.083644] [0x0000007f8defc9a0] [LogDataTag] [0x00003de4] [3257] , 10.0816, 1448, 0, 0, 0, 0, -2.00591, 0, 0.00470543, 0.00470543, 0.00471949, 0.00470543, 0, 0, -0.152518, 0, -5.29267e-11, -3.51916e-08, 0, 0, 0, 0, 5.27589e-05, -0.000297952, 1.11759e-06, 0.000101626, -0.0035286, -0.00277525, 0.00571016, 0, 0, -3.60563e-06, 0, 0, -0.000246957, 0, 0, -0.010741, 0, 0, -5.77924e-06, 0, 0, -0.000279659, 0, 0, -0.0100633, -0.000297952, 1.11759e-06, 0.000105232, -0.0035286, -0.00277525, 0.00595711, -3.73708e-06, -1.81794e-08, 8.49126e-06, 0, 0, 2.17361e-06, 0, 0, 3.36964e-08, 0, 0, -0.0287815, 0.0761396, 0.0513821, -19.3096, 0, 0, 0, 0.0656143, 0.56071, -19.3016, 0.0290416, -0.00339941, 0, 0.149494, -0.110274, 0, -0.0263826, -0.000546274, 0.000447271, -0.0263826, -0.000546274, 0.000447271, -0.000220032, 1.55213, 0.000220032, -0.028761, -0.0311012, -0.0226756, -0.0554242, 0.00285313, 0.000447271, -0.00389355, -7.95652e-06, 5.42457e-06, -0.178255, 0.0791731, -0.0226756, 0.154496, -0.110492, -0.00292474, 0.163391, 0.113015, 0.0030323, -0.0177682, 0.000237711, -1.77643e-06, 0.317887, 0.00252309, 0.000107557, -1.55463, -1.59643, -0.0151328, -0.0287734, -0.0304922, -0.0234881, 0.0722039, -0.0134459, 0.0104676, 0, 0, 0, 19.3099, 0.0722039, -0.0134459, 0.0104676, 4.65564, 5.05075, 4.93034, 4.67313, 0.360079, 0.381413, 0.374992, 0.361039, -0.34666, -0.0330153, -0.0235957, 
[2024-07-23 13:58:19.093725] [0x0000007f8defc9a0] [LogDataTag] [0x00003de4] [3261] , 10.0916, 1523, 0, 0, -4.84276, 0, 0, -2.00516, -0.799026, 0.00470543, 0.00470543, 0.00472153, -0.3, 0, 0, -0.15237, -2.27214e-08, -3.29192e-08, 0, 0, 0, 0, 2.97166e-05, -0.000583513, -5.77718e-05, 6.72042e-06, -0.00376732, -0.00330912, -0.0021386, 0, 0, -6.07519e-06, 0, 0, -0.000354367, 0, 0, -0.013374, 0, 0, -9.11145e-06, 0, 0, -0.000392262, 0, 0, -0.012544, -0.000583513, -5.77718e-05, 1.27956e-05, -0.00376732, -0.00330912, -0.00178423, -6.71661e-06, -7.00355e-09, 9.54357e-06, 0, 0, 3.03625e-06, 0, 0, 5.54326e-08, 0, 0, -0.0374744, 0.0908671, 0.0636182, -19.1182, 0, 0, 0, 0.0855132, 0.570402, -19.1099, 0.0298394, -0.00447479, 0, 0.0777528, -0.0890455, 0, -0.026511, -0.000279293, -0.000225818, -0.026511, -0.000279293, -0.000225818, 0.00011476, 1.55205, -0.00011476, -0.0564496, 0.0787409, 0.0290507, -0.0563505, 0.00419549, -0.000225818, -0.00444779, 2.05748e-05, 9.89728e-06, -0.134202, 0.167786, 0.0290507, 0.0828399, -0.0893919, -0.00236599, 0.219501, 0.0759507, 0.00232222, -0.0161343, 0.00136787, 2.85466e-05, 0.30234, -0.0134412, -4.37707e-05, -4.09252, -1.36588, -0.022331, -0.0564415, 0.0779432, 0.0311278, 0.00837708, -0.0266747, -0.0135682, 0, 0, 0, 19.1186, 0.00837708, -0.0266747, -0.0135682, 4.65898, 4.8336, 4.76353, 4.86247, 0.360262, 0.369783, 0.365981, 0.371342, -0.358782, 0.0913844, 0.0311716, 
[2024-07-23 13:58:19.103667] [0x0000007f8defc9a0] [LogDataTag] [0x00003de4] [3266] , 10.1016, 1477, 0, 0, -4.84276, 0, 0, -2.00516, -0.799026, 0.00470543, 0.00470543, 0.00472153, -0.3, 0, 0, -0.15237, -2.27214e-08, -3.29192e-08, 0, 0, 0, 0, 2.97166e-05, -0.000583513, -5.77718e-05, 6.72042e-06, -0.00376732, -0.00330912, -0.0021386, 0, 0, -9.61886e-06, 0, 0, -0.000488107, 0, 0, -0.0162831, 0, 0, -1.37178e-05, 0, 0, -0.000531492, 0, 0, -0.0152791, -0.000583513, -5.77718e-05, 1.63393e-05, -0.00376732, -0.00330912, -0.00165049, -1.25517e-05, -5.84722e-07, 9.67153e-06, 0, 0, 4.09892e-06, 0, 0, 8.57951e-08, 0, 0, -0.0476562, 0.0908876, 0.0636202, -19.1274, 0, 0, 0, 0.0855311, 0.570648, -19.1191, 0.0298379, -0.00447357, 0, 0.0465111, -0.0826637, 0, -0.026511, -0.000279293, -0.000225818, -0.026511, -0.000279293, -0.000225818, 0.00011476, 1.55205, -0.00011476, -0.0564496, 0.0787409, 0.0290507, -0.056349, 0.00419428, -0.000225818, -0.00501129, 6.25297e-05, 7.6391e-06, -0.102961, 0.161405, 0.0290507, 0.0516001, -0.0830123, -0.0021968, 0.209815, 0.0559122, 0.00192972, -0.0139393, 0.00212737, 5.17688e-05, 0.261415, -0.0271001, -0.000267081, -5.33227, -1.39349, -0.0283004, -0.0564415, 0.0779432, 0.0311278, -0.0383062, -0.0313153, -0.0136512, 0, 0, 0, 19.1278, -0.0383062, -0.0313153, -0.0136512, 4.75462, 4.74216, 4.64869, 4.98231, 0.365495, 0.364816, 0.359697, 0.377771, -0.317857, 0.105043, 0.0313949, 
