[2024-07-23 13:58:09.584664] [0x0000007fa7966010] [MocapTag] [0x00003de4] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-07-23 13:58:09.588938] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [3] , 0, 0.0189727, -0.249421, -0.174639, -0.999837, -0.00303701, -0.00841692, -0.0156863, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.591130] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [4] , 0.588702, 0.0189727, -0.249421, -0.174639, -0.999837, -0.00303701, -0.00841692, -0.0156863, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.596971] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [5] , 0.591618, 0.0189807, -0.249423, -0.174643, -0.999837, -0.00301684, -0.00842937, -0.0156795, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.602641] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [6] , 0.601611, 0.0189807, -0.249423, -0.174643, -0.999837, -0.00301684, -0.00842937, -0.0156795, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.603244] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [7] , 0.601611, 0.0189807, -0.249423, -0.174643, -0.999837, -0.00301684, -0.00842937, -0.0156795, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.604091] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [8] , 0.601611, 0.0189745, -0.24933, -0.174565, -0.999837, -0.00279519, -0.00881199, -0.0155276, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.607010] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [9] , 0.601611, 0.0189745, -0.24933, -0.174565, -0.999837, -0.00279519, -0.00881199, -0.0155276, 0, 0.0092442, 0.00780695, -0.0452518, -0.0757426, 0, 
[2024-07-23 13:58:09.611108] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [10] , 0.601611, 0.0189745, -0.24933, -0.174565, -0.999837, -0.00279519, -0.00881199, -0.0155276, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.613845] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [11] , 0.611659, 0.0189732, -0.249328, -0.174563, -0.999837, -0.0028038, -0.00881418, -0.015534, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.618818] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [12] , 0.611659, 0.0189732, -0.249328, -0.174563, -0.999837, -0.0028038, -0.00881418, -0.015534, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.619398] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [13] , 0.611659, 0.0189732, -0.249328, -0.174563, -0.999837, -0.0028038, -0.00881418, -0.015534, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.621731] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [14] , 0.611659, 0.0189738, -0.249332, -0.174564, -0.999837, -0.00279802, -0.00883304, -0.015522, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.628209] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [15] , 0.621633, 0.0189738, -0.249332, -0.174564, -0.999837, -0.00279802, -0.00883304, -0.015522, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.628800] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [16] , 0.621633, 0.0189738, -0.249332, -0.174564, -0.999837, -0.00279802, -0.00883304, -0.015522, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.630496] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [17] , 0.621633, 0.0189738, -0.249332, -0.174564, -0.999837, -0.00279802, -0.00883304, -0.015522, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.633339] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [18] , 0.631612, 0.0189695, -0.249329, -0.174559, -0.999836, -0.00279728, -0.00883239, -0.0155309, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.635866] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [19] , 0.631612, 0.0189695, -0.249329, -0.174559, -0.999836, -0.00279728, -0.00883239, -0.0155309, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.641321] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [20] , 0.631612, 0.0189695, -0.249329, -0.174559, -0.999836, -0.00279728, -0.00883239, -0.0155309, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.644290] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [21] , 0.641616, 0.0189695, -0.249329, -0.174559, -0.999836, -0.00279728, -0.00883239, -0.0155309, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.645354] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [22] , 0.641616, 0.0189684, -0.249332, -0.174553, -0.999837, -0.00278882, -0.00880503, -0.0155329, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.648285] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [23] , 0.641616, 0.0189684, -0.249332, -0.174553, -0.999837, -0.00278882, -0.00880503, -0.0155329, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.650978] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [24] , 0.641616, 0.0189684, -0.249332, -0.174553, -0.999837, -0.00278882, -0.00880503, -0.0155329, 0, 0, 0, 0, 0, 0, 
[2024-07-23 13:58:09.656286] [0x0000007f8eefe9a0] [MocapTag] [0x00003de4] [25] , 0.651609, 0.0189727, -0.249333, -0.174554, -0.999837, -0.00280258, -0.00880381, -0.0155287, 0, 0, 0, 0, 0, 0, 
