[2024-07-25 21:08:05.118167] [0x0000007f9da45010] [LogDataTag] [0x0000624f] [1] , Controller Time [s], Algorithm Execution Time [us], Position x [m], Position y [m], Position z [m], Velocity x [m/s], Velocity y [m/s], Velocity z [m/s], Phi [rad], Theta [rad], Psi [rad], omega_x [rad/s], omega_y [rad/s], omega_z [rad/s], User Position x [m], User Position y [m], User Position z [m], User Velocity x [m], User Velocity y [m], User Velocity z [m], Desired Phi [rad], Desired Theta [rad], Desired Psi [rad], Deisred Phi rate [rad/s], Deisred Theta rate [rad/s], Deisred Psi rate [rad/s], Desired Omega_x [rad/s], Desired Omega_y [rad/s], Desired Omega_z [rad/s], Desired Alpha_x [rad/s^2], Desired Alpha_y [rad/s^2], Desired Alpha_z [rad/s^2], Error in x [m], Error in y [m], Error in z [m], Integral Error in x [m], Integral Error in y [m], Integral Error in z [m], Error in vx [m/s], Error in vy [m/s], Error in vz [m/s], Error in Phi [rad], Error in Theta [rad], Error in Psi [rad], Integral Error in Phi [rad], Integral Error in Theta [rad], Integral Error in Psi [rad], Error in omega_x [rad/s], Error in omega_y [rad/s], Error in omega_z [rad/s], Virtual Mu x I [N], Virtual Mu y I [N], Virtual Mu z I [N], Virtual Mu x J [N], Virtual Mu y J [N], Virtual Mu z J [N], u1 [N], u2 [Nm], u3 [Nm], u4 [Nm], Thrust Motor 1 [N], Thrust Motor 2 [N], Thrust Motor 3 [N], Thrust Motor 4 [N], Normalized Thrust Motor 1 [-], Normalized Thrust Motor 2 [-], Normalized Thrust Motor 3 [-], Normalized Thrust Motor 4 [-], 
[2024-07-25 21:08:15.012077] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [3386] , 10.0111, 531, -3.12328e-05, 2.41697e-05, 3.83407e-05, -0.00319859, -0.00245395, -0.00212785, -0.0138337, 0.0230599, -7.31119e-05, -0.00764663, 0.0151712, -0.0107607, 1.02016e-07, 0, -8.37209e-07, 3.66705e-05, 0, -0.000299461, 0.0161413, -0.027235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.13348e-05, 2.41697e-05, 3.91779e-05, 0, 0, 0, -0.00323526, -0.00245395, -0.00182838, -0.0299751, 0.0502948, -7.31119e-05, 0, 0, 0, -0.00764663, 0.0151712, -0.0107607, 0.0803013, 0.0445109, -19.2485, 0.524104, 0.310686, -19.239, 19.2487, 0.0165103, -0.0178001, 0.00525831, 4.74217, 4.90803, 4.7909, 4.80759, 0.364817, 0.373794, 0.367469, 0.368374, 
[2024-07-25 21:08:15.021881] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [3391] , 10.0211, 426, -5.91278e-05, 4.60446e-05, 4.02331e-07, -0.00304935, -0.00280776, 0.00181233, -0.0137741, 0.0230009, 8.17379e-05, 0.00586673, -0.00553893, 0.0171204, 1.31551e-06, 0, -1.06047e-05, 0.000247369, 0, -0.00197497, 0.0163078, -0.0296291, 0, 0.258261, -0.435759, 0, 0.258261, -0.435718, -0.00600202, 0, 0, 0, -6.04433e-05, 4.60446e-05, 1.1007e-05, -3.13348e-07, 2.41697e-07, 3.91779e-07, -0.00329671, -0.00280776, 0.0037873, -0.0300819, 0.05263, 8.17379e-05, -0.000299751, 0.000502948, -7.31119e-07, -0.252394, 0.430179, 0.0231224, 0.130897, 0.0501959, -19.76, 0.585324, 0.322236, -19.7492, 19.7605, 0.0545715, -0.0593371, -0.011034, 4.63762, 5.1884, 4.93838, 4.99613, 0.359087, 0.388668, 0.375423, 0.378509, 
[2024-07-25 21:08:15.031922] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [3395] , 10.0311, 468, -8.89301e-05, 6.36876e-05, 3.21418e-05, -0.00335893, -0.00417172, -0.000257814, -0.0137961, 0.0230966, -2.06383e-05, 0.00302066, 0.0109594, -0.0133965, 6.09943e-06, 0, -4.82823e-05, 0.000774835, 0, -0.00604464, 0.0174588, -0.0340352, 0, 0.333237, -0.596079, 0, 0.333237, -0.596022, -0.00822328, 0.968479, -1.63394, -0.0225076, -9.50296e-05, 6.36876e-05, 8.04241e-05, -9.17782e-07, 7.02143e-07, 5.01849e-07, -0.00413376, -0.00417172, 0.00578683, -0.0312549, 0.0571318, -2.06383e-05, -0.000600569, 0.00102925, 8.62592e-08, -0.330217, 0.606982, -0.00517325, 0.222709, 0.0747669, -20.3682, 0.693041, 0.35561, -20.3546, 20.3695, 0.0972605, -0.110282, 0.00186137, 4.59453, 5.59937, 5.02473, 5.15088, 0.35671, 0.409826, 0.380031, 0.386699, 
[2024-07-25 21:08:15.041988] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [3400] , 10.0411, 467, -0.000110865, 7.61151e-05, -3.9041e-06, -0.00320061, -0.00153733, -0.000252613, -0.0137845, 0.0230351, 9.43055e-06, 0.00023088, -0.00912481, 0.00872186, 1.83307e-05, 0, -0.000142428, 0.00175324, 0, -0.0133552, 0.0149715, -0.0389819, 0, 0.331326, -0.641744, 0, 0.331326, -0.641683, -0.00884581, 1.73388, -3.05205, -0.0420911, -0.000129195, 7.61151e-05, 0.000138524, -1.86808e-06, 1.33902e-06, 1.30609e-06, -0.00495385, -0.00153733, 0.0131026, -0.028756, 0.062017, 9.43055e-06, -0.000913118, 0.00160057, -1.20123e-07, -0.331095, 0.632558, 0.0175677, 0.338801, 0.0254536, -21.2497, 0.828158, 0.318169, -21.2339, 21.2524, 0.119799, -0.142249, -0.00971562, 4.65394, 5.92451, 5.24286, 5.43112, 0.359985, 0.426066, 0.391515, 0.401253, 
[2024-07-25 21:08:15.052014] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [3404] , 10.0511, 466, -0.000110865, 7.61151e-05, -3.9041e-06, -0.00320061, -0.00153733, -0.000252613, -0.0137845, 0.0230351, 9.43055e-06, 0.00023088, -0.00912481, 0.00872186, 4.30449e-05, 0, -0.000328181, 0.00329706, 0, -0.0245094, 0.0149093, -0.0449629, 0, 0.237676, -0.638305, 0, 0.237676, -0.638244, -0.0087984, 1.86729, -3.52385, -0.0485904, -0.00015391, 7.61151e-05, 0.000324277, -3.16003e-06, 2.10017e-06, 2.69133e-06, -0.00649767, -0.00153733, 0.0242567, -0.0286938, 0.067998, 9.43055e-06, -0.00120068, 0.00222074, -2.5818e-08, -0.237445, 0.629119, 0.0175203, 0.489829, 0.0254507, -22.3398, 1.00425, 0.333139, -22.3201, 22.3452, 0.109355, -0.153121, -0.00994884, 4.92227, 6.20141, 5.46516, 5.75634, 0.374559, 0.439584, 0.402997, 0.417719, 
[2024-07-25 21:08:15.061927] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [3409] , 10.0611, 419, -0.00014925, 0.000101924, -0.000166431, -0.000481294, -0.00323361, -0.0196991, -0.0139143, 0.0231752, 0.000923554, -0.0163404, 0.0186538, 0.0512583, 8.65287e-05, 0, -0.000647082, 0.00551808, 0, -0.0400034, 0.0162854, -0.0502023, 0, 0.157446, -0.630359, 0, 0.157446, -0.630298, -0.00877069, 1.14934, -2.98384, -0.0411396, -0.000235779, 0.000101924, 0.000480651, -4.69913e-06, 2.86132e-06, 5.9341e-06, -0.00599937, -0.00323361, 0.0203043, -0.0301996, 0.0733775, 0.000923554, -0.00148762, 0.00290072, 6.84875e-08, -0.173786, 0.648951, 0.060029, 0.625165, 0.0558538, -23.1329, 1.16111, 0.37685, -23.1092, 23.1414, 0.0780105, -0.146194, -0.0310566, 5.158, 6.26003, 5.66308, 6.06033, 0.387074, 0.442411, 0.413042, 0.432731, 
[2024-07-25 21:08:15.071943] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [3413] , 10.0711, 417, -0.000142813, 8.34167e-05, -0.00037162, 0.00082525, 0.000116177, -0.025341, -0.0142132, 0.0230451, 0.000816957, -0.062627, -0.0335149, -0.0300537, 0.00015587, 0, -0.00114293, 0.00850624, 0, -0.0601008, 0.0139387, -0.056513, 0, 0.118971, -0.609835, 0, 0.118971, -0.609773, -0.0086674, 0.0226802, -1.80307, -0.0251626, -0.000298682, 8.34167e-05, 0.000771312, -7.05691e-06, 3.88056e-06, 1.07406e-05, -0.00768099, 0.000116177, 0.0347598, -0.0281519, 0.0795581, 0.000816957, -0.00178961, 0.00363449, 9.30402e-06, -0.181598, 0.576258, -0.0213863, 0.817895, -0.00548647, -24.433, 1.38068, 0.340744, -24.4052, 24.4466, 0.0433735, -0.117873, 0.00847055, 5.73231, 6.53266, 5.88659, 6.29508, 0.416517, 0.455418, 0.424194, 0.444097, 
[2024-07-25 21:08:15.082069] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [3417] , 10.0811, 511, -0.000142813, 8.34167e-05, -0.00037162, 0.00082525, 0.000116177, -0.025341, -0.0142132, 0.0230451, 0.000816957, -0.062627, -0.0335149, -0.0300537, 0.000259644, 0, -0.00186597, 0.0123651, 0, -0.0850832, 0.0139399, -0.0640747, 0, 0.0454603, -0.604202, 0, 0.0454603, -0.604141, -0.00858735, -0.972268, -0.389763, -0.00650189, -0.000402456, 8.34167e-05, 0.00149435, -1.00437e-05, 4.71473e-06, 1.84537e-05, -0.0115398, 0.000116177, 0.0597422, -0.0281531, 0.0871198, 0.000816957, -0.00207113, 0.00443007, 1.74736e-05, -0.108087, 0.570626, -0.0214664, 1.06907, -0.00548956, -26.0453, 1.66895, 0.363364, -26.0113, 26.0673, 0.00116856, -0.0919981, 0.00911454, 6.30072, 6.77774, 6.26118, 6.72765, 0.444367, 0.466927, 0.442467, 0.464588, 
[2024-07-25 21:08:15.091926] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [3421] , 10.091, 420, -9.46522e-05, -1.5676e-05, -0.000950679, 0.00410683, -0.00380409, -0.0421392, -0.0143893, 0.022851, -0.000114158, -0.033975, -0.0603943, -0.0662642, 0.000405952, 0, -0.00285855, 0.0171414, 0, -0.114801, 0.0169574, -0.0700103, 0, 0.00586107, -0.62604, 0, 0.00586107, -0.625975, -0.00900795, -1.75108, 0.788782, 0.00941931, -0.000500604, -1.5676e-05, 0.00190787, -1.40683e-05, 5.54889e-06, 3.33973e-05, -0.0130345, -0.00380409, 0.0726621, -0.0313467, 0.0928613, -0.000114158, -0.00235266, 0.00530127, 2.56432e-05, -0.0398361, 0.56558, -0.0572563, 1.28978, 0.0710945, -27.3347, 1.91401, 0.46402, -27.2942, 27.3652, -0.0318218, -0.0702093, 0.0277717, 6.80143, 7.0177, 6.52115, 7.02491, 0.468032, 0.478051, 0.454873, 0.478384, 
[2024-07-25 21:08:15.101940] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [3426] , 10.1011, 421, -4.26769e-05, -9.67383e-05, -0.00133412, 0.00738604, -0.020455, -0.0418894, -0.0142054, 0.022814, -0.000579905, 0.14521, -0.0333089, -0.019008, 0.000606031, 0, -0.00417921, 0.0229524, 0, -0.149491, 0.0272953, -0.0757284, 0, 0.0357793, -0.630451, 0, 0.0357793, -0.630388, -0.00895549, -2.04591, 1.39362, 0.0174281, -0.000648708, -9.67383e-05, 0.00284509, -1.90743e-05, 5.39213e-06, 5.2476e-05, -0.0155664, -0.020455, 0.107601, -0.0415007, 0.0985424, -0.000579905, -0.00266613, 0.00622988, 2.45016e-05, 0.109431, 0.597079, -0.0100525, 1.54529, 0.38287, -29.1842, 2.21042, 0.797677, -29.133, 29.2276, -0.0590311, -0.0632315, 0.00604446, 7.29296, 7.35054, 6.99659, 7.58748, 0.490665, 0.493287, 0.477078, 0.504027, 
