[2024-07-25 21:08:05.144425] [0x0000007f9da45010] [MocapTag] [0x0000624f] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-07-25 21:08:05.149205] [0x0000007f9901e9a0] [MocapTag] [0x0000624f] [3] , 0.148172, -3.10949, -0.43929, -0.170124, -0.999636, -0.0155272, -0.00674594, -0.0210015, 0, 0, 0, 0, 0, 0, 
[2024-07-25 21:08:05.152140] [0x0000007f9901e9a0] [MocapTag] [0x0000624f] [4] , 0.15106, -3.10949, -0.43929, -0.170124, -0.999636, -0.0155272, -0.00674594, -0.0210015, 0, 0, 0, 0, 0, 0, 
[2024-07-25 21:08:05.152475] [0x0000007f9901e9a0] [MocapTag] [0x0000624f] [5] , 0.15106, -3.10949, -0.43929, -0.170124, -0.999636, -0.0155272, -0.00674594, -0.0210015, 0, 0, 0, 0, 0, 0, 
[2024-07-25 21:08:05.156846] [0x0000007f9901e9a0] [MocapTag] [0x0000624f] [6] , 0.15106, -3.10948, -0.439281, -0.170112, -0.999634, -0.0155516, -0.00683496, -0.0210593, 0, 0, 0, 0, 0, 0, 
[2024-07-25 21:08:05.159287] [0x0000007f9901e9a0] [MocapTag] [0x0000624f] [7] , 0.15106, -3.10948, -0.439281, -0.170112, -0.999634, -0.0155516, -0.00683496, -0.0210593, 0, 0, 0, 0, 0, 0, 
[2024-07-25 21:08:05.162087] [0x0000007f9901e9a0] [MocapTag] [0x0000624f] [8] , 0.161064, -3.10948, -0.439281, -0.170112, -0.999634, -0.0155516, -0.00683496, -0.0210593, 0, 0, 0, 0, 0, 0, 
[2024-07-25 21:08:05.165213] [0x0000007f9901e9a0] [MocapTag] [0x0000624f] [9] , 0.161064, -3.10951, -0.439285, -0.170097, -0.999636, -0.0155037, -0.00679585, -0.0210052, 0, 0, 0, 0, 0, 0, 
[2024-07-25 21:08:05.168503] [0x0000007f9901e9a0] [MocapTag] [0x0000624f] [10] , 0.161064, -3.10951, -0.439285, -0.170097, -0.999636, -0.0155037, -0.00679585, -0.0210052, -0.00227142, 0, 0, 0, 0, 0, 
[2024-07-25 21:08:05.171882] [0x0000007f9901e9a0] [MocapTag] [0x0000624f] [11] , 0.171062, -3.10951, -0.439285, -0.170097, -0.999636, -0.0155037, -0.00679585, -0.0210052, 0, 0, 0, 0, 0, 0, 
[2024-07-25 21:08:05.174379] [0x0000007f9901e9a0] [MocapTag] [0x0000624f] [12] , 0.171062, -3.1095, -0.439288, -0.170111, -0.999636, -0.0154998, -0.00672532, -0.0210466, 0, 0, 0, 0, 0, 0, 
