[2024-10-16 17:54:17.983659] [0x0000007f8e48c010] [LogDataTag] [0x000063df] [1] , Controller Time [s], Algorithm Execution Time [us], Position x [m], Position y [m], Position z [m], Velocity x [m/s], Velocity y [m/s], Velocity z [m/s], Phi [rad], Theta [rad], Psi [rad], omega_x [rad/s], omega_y [rad/s], omega_z [rad/s], User Position x [m], User Position y [m], User Position z [m], User Velocity x [m], User Velocity y [m], User Velocity z [m], Desired Phi [rad], Desired Theta [rad], Desired Psi [rad], Deisred Phi rate [rad/s], Deisred Theta rate [rad/s], Deisred Psi rate [rad/s], Desired Omega_x [rad/s], Desired Omega_y [rad/s], Desired Omega_z [rad/s], Desired Alpha_x [rad/s^2], Desired Alpha_y [rad/s^2], Desired Alpha_z [rad/s^2], Error in x [m], Error in y [m], Error in z [m], Integral Error in x [m], Integral Error in y [m], Integral Error in z [m], Error in vx [m/s], Error in vy [m/s], Error in vz [m/s], Error in Phi [rad], Error in Theta [rad], Error in Psi [rad], Integral Error in Phi [rad], Integral Error in Theta [rad], Integral Error in Psi [rad], Error in omega_x [rad/s], Error in omega_y [rad/s], Error in omega_z [rad/s], Virtual Mu x I [N], Virtual Mu y I [N], Virtual Mu z I [N], Virtual Mu x J [N], Virtual Mu y J [N], Virtual Mu z J [N], u1 [N], u2 [Nm], u3 [Nm], u4 [Nm], Thrust Motor 1 [N], Thrust Motor 2 [N], Thrust Motor 3 [N], Thrust Motor 4 [N], Normalized Thrust Motor 1 [-], Normalized Thrust Motor 2 [-], Normalized Thrust Motor 3 [-], Normalized Thrust Motor 4 [-], 
[2024-10-16 17:54:32.017805] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4889] , 15.0165, 686, 1.58474e-05, 1.92509e-05, 3.62247e-05, 0.00617311, -0.00688903, -0.0292958, -0.0129448, -0.00526067, 2.09119e-05, 0.0107585, -0.0005774, 0.00154285, 0, 0, -1.00533e-08, 0, 0, -2.42992e-06, 0.0198331, 0.0115041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58474e-05, 1.92509e-05, 3.62348e-05, 0, 0, 0, 0.00617311, -0.00688903, -0.0292934, -0.0327779, -0.0167647, 2.09119e-05, 0, 0, 0, 0.0107585, -0.0005774, 0.00154285, -0.120346, 0.132834, -19.2811, -0.221772, 0.382396, -19.2769, 19.2819, 0.0154184, 0.00593587, -0.000279715, 4.80019, 4.8394, 4.87122, 4.77113, 0.367973, 0.370097, 0.371814, 0.366394, 
[2024-10-16 17:54:32.027364] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4895] , 15.0265, 509, 2.88971e-05, 2.97514e-05, 6.53826e-05, 0.00505311, -0.00658486, -0.0309857, -0.0129839, -0.00530286, 3.05524e-05, -0.00725647, -0.000984305, 0.00293364, 0, 0, -6.63026e-08, 0, 0, -9.97004e-06, 0.0195573, 0.0104554, 0, 0.31733, 0.184065, 0, 0.31733, 0.18405, 0.00238981, 0, 0, 0, 2.88971e-05, 2.97514e-05, 6.54489e-05, 1.58474e-07, 1.92509e-07, 3.62348e-07, 0.00505311, -0.00658486, -0.0309757, -0.0325411, -0.0157583, 3.05524e-05, -0.000327779, -0.000167647, 2.09119e-07, -0.324586, -0.185034, 0.000543832, -0.0991129, 0.126495, -19.2413, -0.201141, 0.376296, -19.2372, 19.242, 0.0684648, 0.025171, 0.0019129, 4.7251, 4.90529, 5.02496, 4.58662, 0.363885, 0.373648, 0.380043, 0.356272, 
[2024-10-16 17:54:32.037359] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4901] , 15.0365, 492, 4.80898e-05, 4.14939e-05, 7.43382e-05, 0.0061304, -0.00701087, -0.0292788, -0.0129417, -0.00528815, 1.42053e-05, 0.00980754, -0.000842544, -0.00582593, 0, 0, -2.37368e-07, 0, 0, -2.587e-05, 0.0199018, 0.0115495, 0, 0.401769, 0.218825, 0, 0.401769, 0.218807, 0.00283189, 1.18999, 0.690186, 0.00896178, 4.80898e-05, 4.14939e-05, 7.45755e-05, 4.47445e-07, 4.90024e-07, 1.01684e-06, 0.0061304, -0.00701087, -0.0292529, -0.0328435, -0.0168377, 1.42053e-05, -0.00065319, -0.00032523, 5.14643e-07, -0.391961, -0.21965, -0.00865783, -0.120736, 0.134269, -19.2883, -0.222731, 0.383864, -19.284, 19.2891, 0.117161, 0.0438841, 0.00834373, 4.69069, 4.9949, 5.17891, 4.42464, 0.362002, 0.378443, 0.388171, 0.347241, 
[2024-10-16 17:54:32.047352] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4908] , 15.0465, 501, 9.16496e-05, 6.26044e-05, 9.63397e-05, 0.00679493, -0.00618779, -0.0293754, -0.0130182, -0.00528491, 1.89269e-05, 0.000305569, 0.00661769, -0.00412735, 0, 0, -6.21415e-07, 0, 0, -5.30818e-05, 0.0191041, 0.012299, 0, 0.380152, 0.216613, 0, 0.380152, 0.216594, 0.00281983, 2.10163, 1.16562, 0.0151005, 9.16496e-05, 6.26044e-05, 9.69611e-05, 9.28342e-07, 9.04962e-07, 1.76259e-06, 0.00679493, -0.00618779, -0.0293223, -0.0321223, -0.0175839, 1.89269e-05, -0.000981625, -0.000493607, 6.56695e-07, -0.379846, -0.209977, -0.00694718, -0.135272, 0.117422, -19.2907, -0.237217, 0.368525, -19.2866, 19.2915, 0.14375, 0.0532158, 0.00859221, 4.65577, 5.03224, 5.26288, 4.34065, 0.360086, 0.38043, 0.392558, 0.342503, 
[2024-10-16 17:54:32.057321] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4913] , 15.0565, 491, 9.16496e-05, 6.26044e-05, 9.63397e-05, 0.00679493, -0.00618779, -0.0293754, -0.0130182, -0.00528491, 1.89269e-05, 0.000305569, 0.00661769, -0.00412735, 0, 0, -1.34578e-06, 0, 0, -9.44743e-05, 0.0191026, 0.0122976, 0, 0.297052, 0.192973, 0, 0.297052, 0.192956, 0.00251209, 2.17889, 1.22249, 0.0158842, 9.16496e-05, 6.26044e-05, 9.76855e-05, 1.84484e-06, 1.53101e-06, 2.7322e-06, 0.00679493, -0.00618779, -0.0292809, -0.0321208, -0.0175825, 1.89269e-05, -0.00130285, -0.000669446, 8.45965e-07, -0.296747, -0.186339, -0.00663944, -0.135275, 0.117419, -19.295, -0.237243, 0.368578, -19.2909, 19.2958, 0.133025, 0.0519161, 0.00812435, 4.67659, 5.01128, 5.23755, 4.37043, 0.361229, 0.379315, 0.391238, 0.344187, 
[2024-10-16 17:54:32.067338] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4919] , 15.0665, 499, 0.000122394, 7.12012e-05, 8.13305e-05, 0.00587793, -0.00670396, -0.0322144, -0.0130113, -0.00539001, 4.00315e-05, -0.0053536, -0.010558, 0.00303042, 0, 0, -2.56849e-06, 0, 0, -0.000152936, 0.0196197, 0.0115629, 0, 0.212936, 0.151673, 0, 0.212936, 0.15166, 0.0019734, 1.38049, 0.870881, 0.0113468, 0.000122394, 7.12012e-05, 8.3899e-05, 2.76133e-06, 2.15705e-06, 3.70906e-06, 0.00587793, -0.00670396, -0.0320614, -0.032631, -0.0169529, 4.00315e-05, -0.00162406, -0.000845271, 1.03523e-06, -0.21829, -0.162218, 0.00105702, -0.118651, 0.127072, -19.2263, -0.222273, 0.377205, -19.2221, 19.227, 0.0954401, 0.0416708, 0.00294948, 4.70529, 4.92273, 5.12191, 4.47711, 0.362802, 0.374584, 0.385175, 0.350181, 
[2024-10-16 17:54:32.077338] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4926] , 15.0765, 497, 0.000206392, 0.000105974, 0.000103079, 0.00725402, -0.00535051, -0.0288224, -0.0129553, -0.00528049, 3.89286e-06, 0.0136297, 0.00120597, -0.0110298, 0, 0, -4.47159e-06, 0, 0, -0.000231079, 0.0180968, 0.012969, 0, 0.150129, 0.0974791, 0, 0.150129, 0.0974709, 0.00126284, 0.121129, 0.234592, 0.00308708, 0.000206392, 0.000105974, 0.00010755, 3.98528e-06, 2.86906e-06, 4.54805e-06, 0.00725402, -0.00535051, -0.0285913, -0.0310521, -0.0182495, 3.89286e-06, -0.00195037, -0.0010148, 1.43555e-06, -0.136499, -0.0962649, -0.0122926, -0.148519, 0.099366, -19.3215, -0.250543, 0.349654, -19.3176, 19.3223, 0.0419011, 0.0216103, 0.00747856, 4.80974, 4.8882, 4.96225, 4.66216, 0.368491, 0.372728, 0.3767, 0.360437, 
[2024-10-16 17:54:32.087414] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4933] , 15.0865, 513, 0.000206392, 0.000105974, 0.000103079, 0.00725402, -0.00535051, -0.0288224, -0.0129553, -0.00528049, 3.89286e-06, 0.0136297, 0.00120597, -0.0110298, 0, 0, -7.27586e-06, 0, 0, -0.00033188, 0.0180946, 0.0129663, 0, 0.0741068, 0.0805337, 0, 0.0741068, 0.080527, 0.00104331, -1.0892, -0.504483, -0.00654415, 0.000206392, 0.000105974, 0.000110355, 6.0492e-06, 3.92881e-06, 5.62355e-06, 0.00725402, -0.00535051, -0.0284905, -0.0310499, -0.0182468, 3.89286e-06, -0.00226089, -0.00119729, 1.47448e-06, -0.0604772, -0.079321, -0.0120731, -0.148526, 0.0993621, -19.3291, -0.250591, 0.349748, -19.3252, 19.33, -0.00852895, 0.00411626, 0.00537838, 4.87553, 4.8159, 4.81056, 4.82798, 0.372046, 0.368825, 0.368535, 0.369479, 
[2024-10-16 17:54:32.097323] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4939] , 15.0965, 497, 0.000255369, 0.000103418, 0.000125684, 0.00937247, -0.00649158, -0.0312859, -0.0129092, -0.00532358, 0.000234865, 0.0174281, 0.00958496, 0.0334771, 0, 0, -1.11783e-05, 0, 0, -0.000456573, 0.0192179, 0.0152576, 0, 0.0287643, 0.0601501, 0, 0.0287643, 0.0601451, 0.000776468, -2.00973, -0.996208, -0.0129548, 0.000255369, 0.000103418, 0.000136862, 8.11312e-06, 4.98855e-06, 6.7271e-06, 0.00937247, -0.00649158, -0.0308293, -0.0321271, -0.0205812, 0.000234865, -0.00257139, -0.00137976, 1.51341e-06, -0.0113362, -0.0505601, 0.0327007, -0.191476, 0.121599, -19.2762, -0.294063, 0.370451, -19.2717, 19.2775, -0.0455386, -0.00856374, -0.0182219, 4.85548, 4.69368, 4.73936, 4.98898, 0.370965, 0.362167, 0.364664, 0.378127, 
[2024-10-16 17:54:32.107390] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4945] , 15.1065, 504, 0.000255369, 0.000103418, 0.000125684, 0.00937247, -0.00649158, -0.0312859, -0.0129092, -0.00532358, 0.000234865, 0.0174281, 0.00958496, 0.0334771, 0, 0, -1.65061e-05, 0, 0, -0.000609685, 0.0192144, 0.0152529, 0, 0.022185, 0.0782177, 0, 0.022185, 0.0782112, 0.0010097, -2.36773, -1.19238, -0.0155247, 0.000255369, 0.000103418, 0.00014219, 1.06668e-05, 6.02273e-06, 8.09572e-06, 0.00937247, -0.00649158, -0.0306762, -0.0321236, -0.0205764, 0.000234865, -0.00289266, -0.00158557, 3.86206e-06, -0.00475689, -0.0686262, 0.0324674, -0.191486, 0.121596, -19.2863, -0.294126, 0.370578, -19.2818, 19.2877, -0.0579296, -0.0108103, -0.0186053, 4.8793, 4.67305, 4.70909, 5.0262, 0.372249, 0.361035, 0.36301, 0.380109, 
