[2024-10-16 17:54:18.016659] [0x0000007f8e48c010] [MocapTag] [0x000063df] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-10-16 17:54:22.614635] [0x0000007f857f99a0] [MocapTag] [0x000063df] [4] , 0, -0.166698, -0.314364, -0.107224, -0.999925, -0.00282315, -0.00866695, 0.00813943, -0.0122634, -0.00554099, 0.00754964, 0, 0, 0, 
[2024-10-16 17:54:22.618670] [0x0000007f857f99a0] [MocapTag] [0x000063df] [5] , 0, -0.166698, -0.314364, -0.107224, -0.999925, -0.00282315, -0.00866695, 0.00813943, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.619012] [0x0000007f857f99a0] [MocapTag] [0x000063df] [6] , 0, -0.166698, -0.314364, -0.107224, -0.999925, -0.00282315, -0.00866695, 0.00813943, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.623558] [0x0000007f857f99a0] [MocapTag] [0x000063df] [7] , 0, -0.166641, -0.314288, -0.107417, -0.999926, -0.00298835, -0.00843271, 0.0081921, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.626419] [0x0000007f857f99a0] [MocapTag] [0x000063df] [8] , 0, -0.166641, -0.314288, -0.107417, -0.999926, -0.00298835, -0.00843271, 0.0081921, 0.00570749, 0.00754401, -0.019239, 0, 0.0471486, 0, 
[2024-10-16 17:54:22.629045] [0x0000007f857f99a0] [MocapTag] [0x000063df] [9] , 0, -0.166641, -0.314288, -0.107417, -0.999926, -0.00298835, -0.00843271, 0.0081921, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.631744] [0x0000007f857f99a0] [MocapTag] [0x000063df] [10] , 0, -0.166466, -0.314207, -0.107414, -0.999925, -0.00268141, -0.0087753, 0.00816533, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.634501] [0x0000007f857f99a0] [MocapTag] [0x000063df] [11] , 0, -0.166466, -0.314207, -0.107414, -0.999925, -0.00268141, -0.0087753, 0.00816533, 0.0175016, 0.00807677, 0, -0.0608683, -0.0690367, 0, 
[2024-10-16 17:54:22.637039] [0x0000007f857f99a0] [MocapTag] [0x000063df] [12] , 0, -0.166466, -0.314207, -0.107414, -0.999925, -0.00268141, -0.0087753, 0.00816533, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.640677] [0x0000007f857f99a0] [MocapTag] [0x000063df] [13] , 0, -0.166466, -0.314207, -0.107414, -0.999925, -0.00268141, -0.0087753, 0.00816533, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.643318] [0x0000007f857f99a0] [MocapTag] [0x000063df] [14] , 0, -0.166499, -0.314247, -0.107312, -0.999925, -0.00288765, -0.00860163, 0.00818893, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.647036] [0x0000007f857f99a0] [MocapTag] [0x000063df] [15] , 0, -0.166499, -0.314247, -0.107312, -0.999925, -0.00288765, -0.00860163, 0.00818893, -0.00334167, -0.00394376, 0.0101783, 0.041008, 0.0350861, 0, 
[2024-10-16 17:54:22.648909] [0x0000007f857f99a0] [MocapTag] [0x000063df] [16] , 0, -0.166499, -0.314247, -0.107312, -0.999925, -0.00288765, -0.00860163, 0.00818893, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.651657] [0x0000007f857f99a0] [MocapTag] [0x000063df] [17] , 0, -0.166556, -0.314287, -0.107271, -0.999925, -0.00287673, -0.00868177, 0.00811332, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.656341] [0x0000007f857f99a0] [MocapTag] [0x000063df] [18] , 0, -0.166556, -0.314287, -0.107271, -0.999925, -0.00287673, -0.00868177, 0.00811332, -0.00564923, -0.00403304, 0.00413091, 0, 0, 0, 
[2024-10-16 17:54:22.658911] [0x0000007f857f99a0] [MocapTag] [0x000063df] [19] , 0, -0.166556, -0.314287, -0.107271, -0.999925, -0.00287673, -0.00868177, 0.00811332, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.661459] [0x0000007f857f99a0] [MocapTag] [0x000063df] [20] , 0, -0.166588, -0.314275, -0.107263, -0.999925, -0.00283671, -0.00866228, 0.00814684, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.664804] [0x0000007f857f99a0] [MocapTag] [0x000063df] [21] , 0, -0.166588, -0.314275, -0.107263, -0.999925, -0.00283671, -0.00866228, 0.00814684, -0.00320109, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.667630] [0x0000007f857f99a0] [MocapTag] [0x000063df] [22] , 0, -0.166588, -0.314275, -0.107263, -0.999925, -0.00283671, -0.00866228, 0.00814684, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.673420] [0x0000007f857f99a0] [MocapTag] [0x000063df] [23] , 0, -0.166588, -0.314275, -0.107263, -0.999925, -0.00283671, -0.00866228, 0.00814684, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.674279] [0x0000007f857f99a0] [MocapTag] [0x000063df] [24] , 0, -0.166601, -0.31427, -0.107243, -0.999925, -0.00283363, -0.008673, 0.0081349, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.677157] [0x0000007f857f99a0] [MocapTag] [0x000063df] [25] , 0, -0.166601, -0.31427, -0.107243, -0.999925, -0.00283363, -0.008673, 0.0081349, 0, 0, 0.00202757, 0, 0, 0, 
[2024-10-16 17:54:22.679788] [0x0000007f857f99a0] [MocapTag] [0x000063df] [26] , 0, -0.166601, -0.31427, -0.107243, -0.999925, -0.00283363, -0.008673, 0.0081349, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.682417] [0x0000007f857f99a0] [MocapTag] [0x000063df] [27] , 0, -0.166593, -0.314289, -0.107238, -0.999926, -0.00281528, -0.00863187, 0.00810249, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.685212] [0x0000007f857f99a0] [MocapTag] [0x000063df] [28] , 0, -0.166593, -0.314289, -0.107238, -0.999926, -0.00281528, -0.00863187, 0.00810249, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.688306] [0x0000007f857f99a0] [MocapTag] [0x000063df] [29] , 0, -0.166593, -0.314289, -0.107238, -0.999926, -0.00281528, -0.00863187, 0.00810249, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.690938] [0x0000007f857f99a0] [MocapTag] [0x000063df] [30] , 0, -0.166593, -0.314289, -0.107238, -0.999926, -0.00281528, -0.00863187, 0.00810249, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.693474] [0x0000007f857f99a0] [MocapTag] [0x000063df] [31] , 0, -0.166613, -0.314267, -0.10738, -0.999935, -0.00221637, -0.00757559, 0.00820476, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.696369] [0x0000007f857f99a0] [MocapTag] [0x000063df] [32] , 0, -0.166613, -0.314267, -0.10738, -0.999935, -0.00221637, -0.00757559, 0.00820476, 0, 0.00218807, -0.0142513, -0.121355, 0.21033, 0, 
[2024-10-16 17:54:22.698961] [0x0000007f857f99a0] [MocapTag] [0x000063df] [33] , 0, -0.166613, -0.314267, -0.10738, -0.999935, -0.00221637, -0.00757559, 0.00820476, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.703443] [0x0000007f857f99a0] [MocapTag] [0x000063df] [34] , 0, -0.166526, -0.314233, -0.107264, -0.999921, -0.00266259, -0.0088317, 0.00848912, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.706189] [0x0000007f857f99a0] [MocapTag] [0x000063df] [35] , 0, -0.166526, -0.314233, -0.107264, -0.999921, -0.00266259, -0.0088317, 0.00848912, 0.00866746, 0.00340316, 0.0116476, 0.0918388, -0.250331, 0.0582734, 
[2024-10-16 17:54:22.708791] [0x0000007f857f99a0] [MocapTag] [0x000063df] [36] , 0, -0.166526, -0.314233, -0.107264, -0.999921, -0.00266259, -0.0088317, 0.00848912, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.711486] [0x0000007f857f99a0] [MocapTag] [0x000063df] [37] , 0, -0.166556, -0.314303, -0.107278, -0.999925, -0.00284423, -0.00871225, 0.00811656, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.714183] [0x0000007f857f99a0] [MocapTag] [0x000063df] [38] , 0, -0.166556, -0.314303, -0.107278, -0.999925, -0.00284423, -0.00871225, 0.00811656, -0.00297295, -0.00693165, 0, 0.0354767, 0, -0.0742743, 
[2024-10-16 17:54:22.717226] [0x0000007f857f99a0] [MocapTag] [0x000063df] [39] , 0, -0.166556, -0.314303, -0.107278, -0.999925, -0.00284423, -0.00871225, 0.00811656, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.721268] [0x0000007f857f99a0] [MocapTag] [0x000063df] [40] , 0, -0.166556, -0.314303, -0.107278, -0.999925, -0.00284423, -0.00871225, 0.00811656, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.723941] [0x0000007f857f99a0] [MocapTag] [0x000063df] [41] , 0, -0.166678, -0.314348, -0.107304, -0.999926, -0.00290854, -0.00856134, 0.00816679, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.726447] [0x0000007f857f99a0] [MocapTag] [0x000063df] [42] , 0, -0.166678, -0.314348, -0.107304, -0.999926, -0.00290854, -0.00856134, 0.00816679, -0.0122531, -0.00448236, -0.00252936, 0, 0, 0, 
[2024-10-16 17:54:22.729079] [0x0000007f857f99a0] [MocapTag] [0x000063df] [43] , 0, -0.166678, -0.314348, -0.107304, -0.999926, -0.00290854, -0.00856134, 0.00816679, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.731595] [0x0000007f857f99a0] [MocapTag] [0x000063df] [44] , 0, -0.166594, -0.314345, -0.107206, -0.999924, -0.00274719, -0.00883049, 0.00810522, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.735832] [0x0000007f857f99a0] [MocapTag] [0x000063df] [45] , 0, -0.166594, -0.314345, -0.107206, -0.999924, -0.00274719, -0.00883049, 0.00810522, 0.00839977, 0, 0.00980502, 0, -0.0541285, 0, 
[2024-10-16 17:54:22.739281] [0x0000007f857f99a0] [MocapTag] [0x000063df] [46] , 0, -0.166594, -0.314345, -0.107206, -0.999924, -0.00274719, -0.00883049, 0.00810522, 0, 0, 0, 0, 0, 0, 
