[2024-10-16 17:54:22.609861] [0x0000007f8e48c010] [VioTag] [0x000063df] [3] , Controller time [s], VIO Position x [m], VIO Position y [m], VIO Position z [m], VIO velocity x [m/s], VIO velocity y [m/s], VIO velocity z [m/s], VIO acceleration x [m/s^2], VIO acceleration y [m/s^2], VIO acceleration z [m/s^2], VIO Quaternion q0 [-], VIO Quaternion q1 [-], VIO Quaternion q2 [-], VIO Quaternion q3 [-], VIO Angular velocity x [rad/s], VIO Angular velocity y [rad/s], VIO Angular velocity z [rad/s], VIO Angular acceleration x [rad/s], VIO Angular acceleration y [rad/s], VIO Angular acceleration z [rad/s], VIO pose confidence level [-], VIO map confidence level [-], 
[2024-10-16 17:54:23.305779] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [236] , 6.29648, -0, 0, -0, -0, 0, -0, -0, 0, -0, 0.999556, -0.00239691, -0.0296505, -0.00185809, 0.00538358, -0.0231682, -0.0130561, 0.00538358, -0.0231682, -0.0130561, 2, 0, 
[2024-10-16 17:54:23.313274] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [240] , 6.30652, -0, 0, -0, -0, 0, -0, -0, 0, -0, 0.99944, 0.000984293, -0.0334196, -0.00155453, 0.00559609, 0.058556, 0.00341023, 0.00559609, 0.058556, 0.00341023, 2, 0, 
[2024-10-16 17:54:23.314972] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [241] , 6.30652, -0, 0, -0, -0, 0, -0, -0, 0, -0, 0.999446, 0.00101264, -0.0332502, -0.00128022, -0.00628282, 0.0159572, 0.0236391, -0.00628282, 0.0159572, 0.0236391, 2, 0, 
[2024-10-16 17:54:23.320051] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [244] , 6.31649, -1.47444e-05, -3.10819e-05, -0.000386699, -0.000917976, -0.00193513, -0.0240756, -0.0286093, -0.0603096, -0.750331, 0.999553, -0.00200492, -0.02983, 0.000191944, -0.00173447, -0.0734525, -0.00229422, -0.00173447, -0.0734525, -0.00229422, 2, 0, 
[2024-10-16 17:54:23.325027] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [247] , 6.31649, 2.61976e-05, -4.71006e-05, -0.000500084, 0.00363407, -0.00284309, -0.0260742, 0.25515, -0.0982663, -0.641707, 0.999552, -0.0020055, -0.0298696, 0.000149667, 0.000887158, -0.0121081, -0.0241504, 0.000887158, -0.0121081, -0.0241504, 2, 0, 
[2024-10-16 17:54:23.330267] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [249] , 6.3265, 4.92549e-05, -6.26043e-05, -0.000641009, 0.00514024, -0.00333923, -0.0295983, 0.268396, -0.0984886, -0.659567, 0.999555, -0.00202451, -0.029764, 0.000125427, 6.39339e-05, 0.0719521, 0.00773623, 6.39339e-05, 0.0719521, 0.00773623, 2, 0, 
[2024-10-16 17:54:23.335168] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [252] , 6.3265, 8.19393e-05, -8.06154e-05, -0.00080087, 0.00683982, -0.00383743, -0.0332317, 0.284378, -0.0987053, -0.674328, 0.999559, -0.00199718, -0.0296363, 0.000168548, -0.00187999, -0.00354665, 0.0221188, -0.00187999, -0.00354665, 0.0221188, 2, 0, 
[2024-10-16 17:54:23.339984] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [255] , 6.33651, 0.000105019, -8.88721e-05, -0.000969724, 0.00642594, -0.00262165, -0.0357255, 0.149326, 0.0371953, -0.602393, 0.999556, -0.00197855, -0.0297344, 0.000189222, 0.00293807, -0.0662731, -0.00858942, 0.00293807, -0.0662731, -0.00858942, 2, 0, 
[2024-10-16 17:54:23.345126] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [257] , 6.33651, 0.000139859, -0.000101542, -0.00115623, 0.00750811, -0.00243802, -0.0387859, 0.178468, 0.0369759, -0.606315, 0.999553, -0.00198891, -0.0298365, 0.000147172, 0.00344841, 0.0105377, -0.0133577, 0.00344841, 0.0105377, -0.0133577, 2, 0, 
[2024-10-16 17:54:23.350024] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [259] , 6.3465, 0.000179679, -0.000113278, -0.00135764, 0.00840816, -0.00225228, -0.0417484, 0.178948, 0.0370057, -0.601803, 0.999556, -0.00198767, -0.0297215, 0.000146591, -0.000336345, 0.0560328, 0.0143118, -0.000336345, 0.0560328, 0.0143118, 2, 0, 
[2024-10-16 17:54:23.355146] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [263] , 6.3465, -0.0018214, -0.000424218, -0.000581118, -0.0294214, -0.00577746, -0.0275842, -0.0916406, 0.0450148, -0.588763, 0.999591, -0.00166602, -0.0285583, 0.000139724, -0.00880679, -0.0185231, 0.0141899, -0.00880679, -0.0185231, 0.0141899, 2, 0, 
[2024-10-16 17:54:23.360179] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [265] , 6.35647, -0.00196893, -0.00045268, -0.000725555, -0.0297652, -0.00555431, -0.0303967, -0.0858122, 0.0449901, -0.581813, 0.999587, -0.00168231, -0.0286904, 0.000147722, 0.00232842, -0.0566559, -0.0163031, 0.00232842, -0.0566559, -0.0163031, 2, 0, 
[2024-10-16 17:54:23.365300] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [268] , 6.35647, -0.00211544, -0.000480097, -0.000884733, -0.0298732, -0.00533319, -0.0332846, -0.0728092, 0.0449026, -0.580808, 0.999585, -0.00169104, -0.0287469, 9.56898e-05, 0.00665352, 0.0256311, -0.0121969, 0.00665352, 0.0256311, -0.0121969, 2, 0, 
[2024-10-16 17:54:23.370147] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [271] , 6.36651, -0.00228224, -0.000503884, -0.00108628, -0.0321977, -0.0048293, -0.0393919, -0.205444, 0.0635511, -0.793471, 0.999589, -0.00168793, -0.028632, 9.90131e-05, -0.00345305, 0.046554, 0.0141863, -0.00345305, 0.046554, 0.0141863, 2, 0, 
[2024-10-16 17:54:23.375247] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [274] , 6.36651, -0.00245167, -0.000527177, -0.00129183, -0.0336707, -0.00450699, -0.0432356, -0.224499, 0.0637096, -0.787931, 0.99959, -0.00167746, -0.028603, 0.000136513, -0.00320969, -0.0294365, 0.00807648, -0.00320969, -0.0294365, 0.00807648, 2, 0, 
[2024-10-16 17:54:23.380282] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [276] , 6.37648, -0.00262279, -0.000548951, -0.00151893, -0.0347751, -0.00418836, -0.0472289, -0.223806, 0.0636957, -0.789621, 0.999586, -0.00168822, -0.0287158, 0.000123972, 0.00065337, -0.0353118, -0.021845, 0.00065337, -0.0353118, -0.021845, 2, 0, 
[2024-10-16 17:54:23.385153] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [278] , 6.37648, -0.00279156, -0.000569232, -0.00177051, -0.0354261, -0.00387434, -0.0514825, -0.209716, 0.0635523, -0.798614, 0.999586, -0.00171173, -0.0287225, 7.22351e-05, 0.00543013, 0.0311292, -0.0112236, 0.00543013, 0.0311292, -0.0112236, 2, 0, 
[2024-10-16 17:54:23.390148] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [281] , 6.38649, -0.000487289, -7.05182e-06, -0.00140544, 0.015107, 0.00657157, -0.0503855, 0.411696, 0.122693, -0.890941, 0.99888, 0.00296398, -0.047223, -4.56486e-05, 0.00124651, 0.0250337, 0.0256127, 0.00124651, 0.0250337, 0.0256127, 2, 0, 
[2024-10-16 17:54:23.395109] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [284] , 6.38649, -0.000406574, 2.91204e-05, -0.00166915, 0.0168322, 0.00722337, -0.0547223, 0.392663, 0.12315, -0.883498, 0.99888, 0.00300955, -0.0472305, 5.09067e-06, -0.00229532, -0.0339166, 0.00791163, -0.00229532, -0.0339166, 0.00791163, 2, 0, 
[2024-10-16 17:54:23.400407] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [286] , 6.3965, -0.000318703, 6.743e-05, -0.00195426, 0.0186628, 0.00785181, -0.0590564, 0.387302, 0.123276, -0.879215, 0.998876, 0.00300033, -0.0473054, -1.78189e-05, 0.00376292, -0.0158343, -0.0229188, 0.00376292, -0.0158343, -0.0229188, 2, 0, 
[2024-10-16 17:54:23.405426] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [289] , 6.3965, -0.000231397, 8.93694e-05, -0.00224639, 0.0194363, 0.00655529, -0.0619617, 0.31087, 0.00822698, -0.788692, 0.998877, 0.00297989, -0.0472773, -5.95108e-05, -0.00241028, 0.0482797, -0.00383246, -0.00241028, 0.0482797, -0.00383246, 2, 0, 
[2024-10-16 17:54:23.410106] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [291] , 6.40648, -0.000133055, 0.000121996, -0.00256685, 0.0206784, 0.00659363, -0.0659662, 0.293405, 0.00831365, -0.791821, 0.998882, 0.00298092, -0.0471802, -2.82111e-05, -0.0047447, 0.0122864, 0.0207338, -0.0047447, 0.0122864, 0.0207338, 2, 0, 
[2024-10-16 17:54:23.415161] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [294] , 6.40648, -1.97774e-05, 0.000155658, -0.00291172, 0.0225612, 0.00664344, -0.0702661, 0.310254, 0.0083316, -0.80564, 0.998879, 0.00299574, -0.0472356, -2.95637e-07, -0.00176803, -0.0382815, -0.00824808, -0.00176803, -0.0382815, -0.00824808, 2, 0, 
[2024-10-16 17:54:23.420147] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [297] , 6.41649, 0.000532573, 5.16326e-05, -0.00185625, 0.0399137, 0.00652518, -0.0560837, 0.450902, 0.0551089, -0.572623, 0.998523, 0.00340971, -0.0542332, 1.32824e-06, 0.00753944, -0.000969513, -0.0159947, 0.00753944, -0.000969513, -0.0159947, 2, 0, 
[2024-10-16 17:54:23.425200] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [300] , 6.41649, 0.000738004, 8.50207e-05, -0.00214442, 0.0421769, 0.00680169, -0.0589262, 0.451355, 0.0551104, -0.570762, 0.998526, 0.00341813, -0.0541734, -1.46442e-05, -0.00135858, 0.032431, 0.0071703, -0.00135858, 0.032431, 0.0071703, 2, 0, 
