[2025-02-03 14:05:23.182870] [0x0000007fa9c7c010] [MocapTag] [0x000015aa] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 14:05:23.193473] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [3] , 0.188765, 0.0147346, -0.184052, -0.14503, -0.999987, -0.000178388, 0.00262569, 0.00431122, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.194141] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [4] , 0.188765, 0.0147346, -0.184052, -0.14503, -0.999987, -0.000178388, 0.00262569, 0.00431122, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.194754] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [5] , 0.188765, 0.0147394, -0.184047, -0.145047, -0.999987, -0.000178912, 0.00259651, 0.00431759, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.195414] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [6] , 0.188765, 0.0147394, -0.184047, -0.145047, -0.999987, -0.000178912, 0.00259651, 0.00431759, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.196176] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [7] , 0.188765, 0.0147394, -0.184047, -0.145047, -0.999987, -0.000178912, 0.00259651, 0.00431759, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.196837] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [8] , 0.196015, 0.0147394, -0.184047, -0.145047, -0.999987, -0.000178912, 0.00259651, 0.00431759, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.197416] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [9] , 0.196015, 0.0147436, -0.184051, -0.145052, -0.999987, -0.000177758, 0.00260551, 0.00431485, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.197897] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [10] , 0.196015, 0.0147436, -0.184051, -0.145052, -0.999987, -0.000177758, 0.00260551, 0.00431485, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.200288] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [11] , 0.196015, 0.0147436, -0.184051, -0.145052, -0.999987, -0.000177758, 0.00260551, 0.00431485, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.206636] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [12] , 0.206011, 0.0147367, -0.184054, -0.145052, -0.999987, -0.000178028, 0.0026198, 0.0043111, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.207434] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [13] , 0.206011, 0.0147367, -0.184054, -0.145052, -0.999987, -0.000178028, 0.0026198, 0.0043111, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.210318] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [14] , 0.206011, 0.0147367, -0.184054, -0.145052, -0.999987, -0.000178028, 0.0026198, 0.0043111, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.212981] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [15] , 0.206011, 0.0147391, -0.184049, -0.145057, -0.999987, -0.000171778, 0.00258853, 0.00431165, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.215591] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [16] , 0.206011, 0.0147391, -0.184049, -0.145057, -0.999987, -0.000171778, 0.00258853, 0.00431165, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.218299] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [17] , 0.216026, 0.0147391, -0.184049, -0.145057, -0.999987, -0.000171778, 0.00258853, 0.00431165, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.221888] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [18] , 0.216026, 0.0147391, -0.184049, -0.145057, -0.999987, -0.000171778, 0.00258853, 0.00431165, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.224470] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [19] , 0.216026, 0.0147376, -0.184059, -0.145055, -0.999987, -0.000174646, 0.00259507, 0.00432007, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.227191] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [20] , 0.226023, 0.0147376, -0.184059, -0.145055, -0.999987, -0.000174646, 0.00259507, 0.00432007, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.229793] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [21] , 0.226023, 0.0147376, -0.184059, -0.145055, -0.999987, -0.000174646, 0.00259507, 0.00432007, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.235198] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [22] , 0.226023, 0.0147408, -0.184061, -0.145044, -0.999987, -0.00017842, 0.00262905, 0.00432475, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.237357] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [23] , 0.236029, 0.0147408, -0.184061, -0.145044, -0.999987, -0.00017842, 0.00262905, 0.00432475, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.240086] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [24] , 0.236029, 0.0147408, -0.184061, -0.145044, -0.999987, -0.00017842, 0.00262905, 0.00432475, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.243047] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [25] , 0.236029, 0.0147285, -0.184068, -0.145033, -0.999987, -0.000179171, 0.00258803, 0.00430568, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.245409] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [26] , 0.236029, 0.0147285, -0.184068, -0.145033, -0.999987, -0.000179171, 0.00258803, 0.00430568, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.248062] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [27] , 0.246018, 0.0147285, -0.184068, -0.145033, -0.999987, -0.000179171, 0.00258803, 0.00430568, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.252608] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [28] , 0.246018, 0.0147285, -0.184068, -0.145033, -0.999987, -0.000179171, 0.00258803, 0.00430568, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.255166] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [29] , 0.246018, 0.0147256, -0.184066, -0.145032, -0.999987, -0.000171525, 0.00260502, 0.00431678, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.257937] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [30] , 0.256028, 0.0147256, -0.184066, -0.145032, -0.999987, -0.000171525, 0.00260502, 0.00431678, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.260583] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [31] , 0.256028, 0.0147256, -0.184066, -0.145032, -0.999987, -0.000171525, 0.00260502, 0.00431678, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.264059] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [32] , 0.256028, 0.0147209, -0.184071, -0.145025, -0.999987, -0.000174233, 0.00258566, 0.0043254, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.269615] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [33] , 0.266026, 0.0147209, -0.184071, -0.145025, -0.999987, -0.000174233, 0.00258566, 0.0043254, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.270147] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [34] , 0.266026, 0.0147209, -0.184071, -0.145025, -0.999987, -0.000174233, 0.00258566, 0.0043254, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.272054] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [35] , 0.266026, 0.0147209, -0.184071, -0.145025, -0.999987, -0.000174233, 0.00258566, 0.0043254, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.274651] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [36] , 0.266026, 0.0147145, -0.184058, -0.145012, -0.999987, -0.000179599, 0.0026351, 0.00431573, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.277480] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [37] , 0.276024, 0.0147145, -0.184058, -0.145012, -0.999987, -0.000179599, 0.0026351, 0.00431573, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.280234] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [38] , 0.276024, 0.0147145, -0.184058, -0.145012, -0.999987, -0.000179599, 0.0026351, 0.00431573, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.284888] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [39] , 0.276024, 0.0147214, -0.18406, -0.145022, -0.999987, -0.000169599, 0.00257468, 0.00429901, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.287449] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [40] , 0.286023, 0.0147214, -0.18406, -0.145022, -0.999987, -0.000169599, 0.00257468, 0.00429901, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.290215] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [41] , 0.286023, 0.0147214, -0.18406, -0.145022, -0.999987, -0.000169599, 0.00257468, 0.00429901, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.294179] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [42] , 0.286023, 0.0147204, -0.184053, -0.145026, -0.999987, -0.000181515, 0.00256936, 0.00432318, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:05:23.295671] [0x0000007fa52559a0] [MocapTag] [0x000015aa] [43] , 0.286023, 0.0147204, -0.184053, -0.145026, -0.999987, -0.000181515, 0.00256936, 0.00432318, 0, 0, 0, 0, 0, 0, 
