[2025-02-03 14:25:21.083494] [0x0000007fa946e010] [MocapTag] [0x00003479] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 14:25:21.088575] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [3] , 0, 0.00884251, -0.183275, -0.148111, -0.994694, 0.00683877, -0.00440372, -0.102559, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.091942] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [4] , 0.0910873, 0.00884251, -0.183275, -0.148111, -0.994694, 0.00683877, -0.00440372, -0.102559, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.094429] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [5] , 0.0910873, 0.00884162, -0.183272, -0.148115, -0.994694, 0.00683932, -0.00440389, -0.102556, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.098861] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [6] , 0.0910873, 0.00884162, -0.183272, -0.148115, -0.994694, 0.00683932, -0.00440389, -0.102556, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.099806] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [7] , 0.0910873, 0.00884162, -0.183272, -0.148115, -0.994694, 0.00683932, -0.00440389, -0.102556, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.102424] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [8] , 0.101095, 0.00884448, -0.183271, -0.148114, -0.994694, 0.00684085, -0.00435268, -0.102554, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.105302] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [9] , 0.101095, 0.00884448, -0.183271, -0.148114, -0.994694, 0.00684085, -0.00435268, -0.102554, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.110496] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [10] , 0.101095, 0.00884448, -0.183271, -0.148114, -0.994694, 0.00684085, -0.00435268, -0.102554, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.113640] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [11] , 0.111187, 0.00884728, -0.183273, -0.148117, -0.994693, 0.0068257, -0.00437402, -0.102568, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.115940] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [12] , 0.111187, 0.00884728, -0.183273, -0.148117, -0.994693, 0.0068257, -0.00437402, -0.102568, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.118732] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [13] , 0.111187, 0.00884728, -0.183273, -0.148117, -0.994693, 0.0068257, -0.00437402, -0.102568, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.121365] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [14] , 0.111187, 0.00884728, -0.183273, -0.148117, -0.994693, 0.0068257, -0.00437402, -0.102568, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.126618] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [15] , 0.121128, 0.008846, -0.183268, -0.148123, -0.994694, 0.00682477, -0.00439351, -0.102561, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.129556] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [16] , 0.121128, 0.008846, -0.183268, -0.148123, -0.994694, 0.00682477, -0.00439351, -0.102561, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.132180] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [17] , 0.131124, 0.00884646, -0.183261, -0.14812, -0.994692, 0.00680333, -0.00440729, -0.102575, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.135009] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [18] , 0.131124, 0.00884646, -0.183261, -0.14812, -0.994692, 0.00680333, -0.00440729, -0.102575, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.137439] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [19] , 0.131124, 0.00884646, -0.183261, -0.14812, -0.994692, 0.00680333, -0.00440729, -0.102575, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.141804] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [20] , 0.141102, 0.00884646, -0.183261, -0.14812, -0.994692, 0.00680333, -0.00440729, -0.102575, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.144418] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [21] , 0.141102, 0.00884504, -0.183257, -0.148119, -0.994693, 0.00679612, -0.0044036, -0.102573, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.147344] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [22] , 0.141102, 0.00884504, -0.183257, -0.148119, -0.994693, 0.00679612, -0.0044036, -0.102573, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.149925] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [23] , 0.141102, 0.00884504, -0.183257, -0.148119, -0.994693, 0.00679612, -0.0044036, -0.102573, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.152832] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [24] , 0.151113, 0.00884993, -0.183261, -0.148117, -0.994693, 0.00679597, -0.00439782, -0.102572, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.156979] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [25] , 0.151113, 0.00884993, -0.183261, -0.148117, -0.994693, 0.00679597, -0.00439782, -0.102572, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.159573] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [26] , 0.151113, 0.00884993, -0.183261, -0.148117, -0.994693, 0.00679597, -0.00439782, -0.102572, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.162206] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [27] , 0.161102, 0.00915901, -0.183349, -0.147885, -0.994732, 0.00747376, -0.00172246, -0.102223, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.165215] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [28] , 0.161102, 0.00915901, -0.183349, -0.147885, -0.994732, 0.00747376, -0.00172246, -0.102223, 0.030908, -0.00878406, 0.023171, -0.0798702, 0.545606, 0.0742793, 
[2025-02-03 14:25:21.167703] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [29] , 0.161102, 0.00915901, -0.183349, -0.147885, -0.994732, 0.00747376, -0.00172246, -0.102223, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.171740] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [30] , 0.171108, 0.00915901, -0.183349, -0.147885, -0.994732, 0.00747376, -0.00172246, -0.102223, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.175591] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [31] , 0.171108, 0.00901925, -0.1834, -0.147914, -0.994723, 0.00745557, -0.00221232, -0.102306, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:25:21.177905] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [32] , 0.171108, 0.00901925, -0.1834, -0.147914, -0.994723, 0.00745557, -0.00221232, -0.102306, -0.0139756, -0.00516358, -0.00292178, 0, -0.0976991, 0, 
[2025-02-03 14:25:21.180161] [0x0000007fa4a479a0] [MocapTag] [0x00003479] [33] , 0.171108, 0.00901925, -0.1834, -0.147914, -0.994723, 0.00745557, -0.00221232, -0.102306, 0, 0, 0, 0, 0, 0, 
