[2025-02-03 14:35:07.608734] [0x0000007f9a42d010] [MocapTag] [0x000043c1] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 14:35:07.613443] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [3] , 0, 0.0212055, -0.179894, -0.1437, -0.999868, -0.00372748, 0.0129708, 0.00906749, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.616663] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [4] , 0.614326, 0.0212055, -0.179894, -0.1437, -0.999868, -0.00372748, 0.0129708, 0.00906749, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.619783] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [5] , 0.614326, 0.0212055, -0.179894, -0.1437, -0.999868, -0.00372748, 0.0129708, 0.00906749, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.621754] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [6] , 0.614326, 0.0212335, -0.179896, -0.143688, -0.999868, -0.0037117, 0.0129616, 0.00905569, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.624826] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [7] , 0.622506, 0.0212335, -0.179896, -0.143688, -0.999868, -0.0037117, 0.0129616, 0.00905569, 0.00280453, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.627150] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [8] , 0.622506, 0.0212335, -0.179896, -0.143688, -0.999868, -0.0037117, 0.0129616, 0.00905569, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.629720] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [9] , 0.622506, 0.0212335, -0.179896, -0.143688, -0.999868, -0.0037117, 0.0129616, 0.00905569, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.633404] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [10] , 0.632501, 0.0212238, -0.179894, -0.143689, -0.999868, -0.00371548, 0.0129572, 0.00904424, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.636125] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [11] , 0.632501, 0.0212238, -0.179894, -0.143689, -0.999868, -0.00371548, 0.0129572, 0.00904424, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.638700] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [12] , 0.632501, 0.0212238, -0.179894, -0.143689, -0.999868, -0.00371548, 0.0129572, 0.00904424, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.641221] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [13] , 0.632501, 0.0212238, -0.179894, -0.143689, -0.999868, -0.00371548, 0.0129572, 0.00904424, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.644063] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [14] , 0.642511, 0.0212274, -0.179888, -0.143708, -0.999868, -0.00371, 0.0129445, 0.00905117, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.648549] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [15] , 0.642511, 0.0212274, -0.179888, -0.143708, -0.999868, -0.00371, 0.0129445, 0.00905117, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.651429] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [16] , 0.642511, 0.0212274, -0.179888, -0.143708, -0.999868, -0.00371, 0.0129445, 0.00905117, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.655359] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [17] , 0.652508, 0.0212168, -0.179895, -0.143725, -0.999868, -0.00371109, 0.0129318, 0.00905873, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.656728] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [18] , 0.652508, 0.0212168, -0.179895, -0.143725, -0.999868, -0.00371109, 0.0129318, 0.00905873, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.659477] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [19] , 0.652508, 0.0212168, -0.179895, -0.143725, -0.999868, -0.00371109, 0.0129318, 0.00905873, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.662095] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [20] , 0.652508, 0.021206, -0.179886, -0.14374, -0.999868, -0.00372002, 0.012992, 0.00906742, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.665919] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [21] , 0.662509, 0.021206, -0.179886, -0.14374, -0.999868, -0.00372002, 0.012992, 0.00906742, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.668572] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [22] , 0.662509, 0.021206, -0.179886, -0.14374, -0.999868, -0.00372002, 0.012992, 0.00906742, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.671108] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [23] , 0.662509, 0.021206, -0.179886, -0.14374, -0.999868, -0.00372002, 0.012992, 0.00906742, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.673631] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [24] , 0.672517, 0.0212416, -0.179886, -0.143749, -0.999868, -0.00371424, 0.0129837, 0.00907341, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.677285] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [25] , 0.672517, 0.0212416, -0.179886, -0.143749, -0.999868, -0.00371424, 0.0129837, 0.00907341, 0.00355983, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.681129] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [26] , 0.672517, 0.0212416, -0.179886, -0.143749, -0.999868, -0.00371424, 0.0129837, 0.00907341, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.683802] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [27] , 0.682515, 0.0212264, -0.179872, -0.143749, -0.999869, -0.0037458, 0.0129103, 0.00907091, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.686618] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [28] , 0.682515, 0.0212264, -0.179872, -0.143749, -0.999869, -0.0037458, 0.0129103, 0.00907091, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.689474] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [29] , 0.682515, 0.0212264, -0.179872, -0.143749, -0.999869, -0.0037458, 0.0129103, 0.00907091, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.693798] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [30] , 0.692515, 0.0212025, -0.179882, -0.143736, -0.999868, -0.00376365, 0.0129406, 0.00907524, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.697295] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [31] , 0.692515, 0.0212025, -0.179882, -0.143736, -0.999868, -0.00376365, 0.0129406, 0.00907524, -0.00238913, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.699771] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [32] , 0.692515, 0.0212025, -0.179882, -0.143736, -0.999868, -0.00376365, 0.0129406, 0.00907524, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.702506] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [33] , 0.692515, 0.0212155, -0.179883, -0.143735, -0.999869, -0.00376212, 0.0128749, 0.00907892, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.706286] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [34] , 0.702511, 0.0212155, -0.179883, -0.143735, -0.999869, -0.00376212, 0.0128749, 0.00907892, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.708618] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [35] , 0.702511, 0.0212155, -0.179883, -0.143735, -0.999869, -0.00376212, 0.0128749, 0.00907892, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.714157] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [36] , 0.712525, 0.0212155, -0.179883, -0.143735, -0.999869, -0.00376212, 0.0128749, 0.00907892, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.715935] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [37] , 0.712525, 0.0212119, -0.179896, -0.143729, -0.999869, -0.00376094, 0.0128874, 0.00908768, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.718751] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [38] , 0.712525, 0.0212119, -0.179896, -0.143729, -0.999869, -0.00376094, 0.0128874, 0.00908768, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.721644] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [39] , 0.712525, 0.0212119, -0.179896, -0.143729, -0.999869, -0.00376094, 0.0128874, 0.00908768, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.724167] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [40] , 0.722517, 0.0211988, -0.179899, -0.143735, -0.999868, -0.00377914, 0.0128939, 0.00908772, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.728862] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [41] , 0.722517, 0.0211988, -0.179899, -0.143735, -0.999868, -0.00377914, 0.0128939, 0.00908772, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.732469] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [42] , 0.722517, 0.0211988, -0.179899, -0.143735, -0.999868, -0.00377914, 0.0128939, 0.00908772, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.734532] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [43] , 0.732516, 0.0211988, -0.1799, -0.143745, -0.999868, -0.00376612, 0.0129431, 0.00908554, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.736990] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [44] , 0.732516, 0.0211988, -0.1799, -0.143745, -0.999868, -0.00376612, 0.0129431, 0.00908554, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.739652] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [45] , 0.732516, 0.0211988, -0.1799, -0.143745, -0.999868, -0.00376612, 0.0129431, 0.00908554, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.744167] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [46] , 0.742517, 0.0211827, -0.179897, -0.14375, -0.999867, -0.00377612, 0.0129974, 0.00908696, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.746996] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [47] , 0.742517, 0.0211827, -0.179897, -0.14375, -0.999867, -0.00377612, 0.0129974, 0.00908696, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.749667] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [48] , 0.742517, 0.0211827, -0.179897, -0.14375, -0.999867, -0.00377612, 0.0129974, 0.00908696, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:35:07.752255] [0x0000007f917f99a0] [MocapTag] [0x000043c1] [49] , 0.742517, 0.0212135, -0.179904, -0.143756, -0.999867, -0.0037448, 0.013014, 0.0090789, 0, 0, 0, 0, 0, 0, 
