[2025-02-03 14:43:07.888250] [0x0000007f9f196010] [MocapTag] [0x00005057] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 14:43:07.893659] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [3] , 0.892991, -0.00956408, -0.190933, -0.143335, -0.999865, -0.00351246, 0.0137977, 0.00824482, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.895289] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [4] , 0.892991, -0.00956408, -0.190933, -0.143335, -0.999865, -0.00351246, 0.0137977, 0.00824482, 0, 0, 0.00249564, 0, 0, 0, 
[2025-02-03 14:43:07.897757] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [5] , 0.896647, -0.00956408, -0.190933, -0.143335, -0.999865, -0.00351246, 0.0137977, 0.00824482, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.900568] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [6] , 0.896647, -0.00956408, -0.190933, -0.143335, -0.999865, -0.00351246, 0.0137977, 0.00824482, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.905158] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [7] , 0.896647, -0.00956444, -0.190923, -0.143308, -0.999864, -0.00351741, 0.013849, 0.00823416, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.908524] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [8] , 0.906661, -0.00956444, -0.190923, -0.143308, -0.999864, -0.00351741, 0.013849, 0.00823416, 0, 0, 0.00270251, 0, 0, 0, 
[2025-02-03 14:43:07.910893] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [9] , 0.906661, -0.00956444, -0.190923, -0.143308, -0.999864, -0.00351741, 0.013849, 0.00823416, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.913526] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [10] , 0.906661, -0.00956634, -0.190921, -0.143301, -0.999864, -0.00353309, 0.013825, 0.00823047, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.916453] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [11] , 0.906661, -0.00956634, -0.190921, -0.143301, -0.999864, -0.00353309, 0.013825, 0.00823047, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.920919] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [12] , 0.91667, -0.00956634, -0.190921, -0.143301, -0.999864, -0.00353309, 0.013825, 0.00823047, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.924193] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [13] , 0.91667, -0.00956549, -0.190915, -0.143305, -0.999863, -0.00357814, 0.0138991, 0.00823466, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.926634] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [14] , 0.91667, -0.00956549, -0.190915, -0.143305, -0.999863, -0.00357814, 0.0138991, 0.00823466, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.929454] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [15] , 0.926662, -0.00956549, -0.190915, -0.143305, -0.999863, -0.00357814, 0.0138991, 0.00823466, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.932033] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [16] , 0.926662, -0.00956552, -0.190909, -0.143329, -0.999862, -0.00358435, 0.0139474, 0.0082456, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.937598] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [17] , 0.936672, -0.00956552, -0.190909, -0.143329, -0.999862, -0.00358435, 0.0139474, 0.0082456, 0, 0, -0.00237742, 0, 0, 0, 
[2025-02-03 14:43:07.939537] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [18] , 0.936672, -0.00956552, -0.190909, -0.143329, -0.999862, -0.00358435, 0.0139474, 0.0082456, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.942266] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [19] , 0.936672, -0.00956996, -0.19091, -0.143362, -0.999861, -0.00362105, 0.0140039, 0.00826958, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.945323] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [20] , 0.936672, -0.00956996, -0.19091, -0.143362, -0.999861, -0.00362105, 0.0140039, 0.00826958, 0, 0, -0.00330234, 0, 0, 0, 
[2025-02-03 14:43:07.947776] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [21] , 0.946661, -0.00956996, -0.19091, -0.143362, -0.999861, -0.00362105, 0.0140039, 0.00826958, 0, 0, 0, 0, 0, 0, 
