[2025-02-03 14:47:14.385269] [0x0000007f90848010] [MocapTag] [0x00005722] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 14:47:14.390023] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [3] , 0, -0.0105974, -0.190294, -0.148797, -0.999918, -0.00239592, -0.011585, 0.00488334, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:47:14.392106] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [4] , 0.390441, -0.0105986, -0.190301, -0.148782, -0.999918, -0.00238156, -0.0116002, 0.00487167, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:47:14.394905] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [5] , 0.390441, -0.0105986, -0.190301, -0.148782, -0.999918, -0.00238156, -0.0116002, 0.00487167, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:47:14.399620] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [6] , 0.390441, -0.0105986, -0.190301, -0.148782, -0.999918, -0.00238156, -0.0116002, 0.00487167, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:47:14.405050] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [7] , 0.400063, -0.0106015, -0.190302, -0.148754, -0.999918, -0.00237692, -0.0116475, 0.00485255, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:47:14.405972] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [8] , 0.400063, -0.0106015, -0.190302, -0.148754, -0.999918, -0.00237692, -0.0116475, 0.00485255, 0, 0, 0.002785, 0, 0, 0, 
[2025-02-03 14:47:14.407699] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [9] , 0.400063, -0.0106015, -0.190302, -0.148754, -0.999918, -0.00237692, -0.0116475, 0.00485255, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:47:14.410311] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [10] , 0.400063, -0.0106015, -0.190302, -0.148754, -0.999918, -0.00237692, -0.0116475, 0.00485255, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:47:14.414898] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [11] , 0.410074, -0.0106019, -0.190294, -0.148726, -0.999917, -0.00237385, -0.0117051, 0.00484442, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:47:14.417809] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [12] , 0.410074, -0.0106019, -0.190294, -0.148726, -0.999917, -0.00237385, -0.0117051, 0.00484442, 0, 0, 0.00275534, 0, 0, 0, 
[2025-02-03 14:47:14.420483] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [13] , 0.420069, -0.0106019, -0.190294, -0.148726, -0.999917, -0.00237385, -0.0117051, 0.00484442, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:47:14.423183] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [14] , 0.420069, -0.0106058, -0.190297, -0.148713, -0.999917, -0.00235545, -0.0117377, 0.0048376, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:47:14.426042] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [15] , 0.420069, -0.0106058, -0.190297, -0.148713, -0.999917, -0.00235545, -0.0117377, 0.0048376, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:47:14.430729] [0x0000007f777fd9a0] [MocapTag] [0x00005722] [16] , 0.430076, -0.0106058, -0.190297, -0.148713, -0.999917, -0.00235545, -0.0117377, 0.0048376, 0, 0, 0, 0, 0, 0, 
