[2025-02-03 15:03:39.996615] [0x0000007f988c6010] [MocapTag] [0x000071d2] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 15:03:40.002087] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [3] , 0, -0.00295665, -0.188581, -0.150342, -0.999665, 0.00735597, 0.00896481, 0.0231294, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.002768] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [4] , 1.00137, -0.00295463, -0.188569, -0.150339, -0.999666, 0.00732358, 0.00897095, 0.0231165, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.005250] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [5] , 1.00242, -0.00295463, -0.188569, -0.150339, -0.999666, 0.00732358, 0.00897095, 0.0231165, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.008082] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [6] , 1.00242, -0.00295463, -0.188569, -0.150339, -0.999666, 0.00732358, 0.00897095, 0.0231165, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.010672] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [7] , 1.00242, -0.00295858, -0.188553, -0.150334, -0.999666, 0.00729187, 0.00895941, 0.0231138, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.016232] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [8] , 1.01242, -0.00295858, -0.188553, -0.150334, -0.999666, 0.00729187, 0.00895941, 0.0231138, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.018530] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [9] , 1.01242, -0.00295858, -0.188553, -0.150334, -0.999666, 0.00729187, 0.00895941, 0.0231138, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.021346] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [10] , 1.01242, -0.00296375, -0.188548, -0.150343, -0.999666, 0.00730827, 0.00897011, 0.0231148, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.024180] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [11] , 1.02243, -0.00296375, -0.188548, -0.150343, -0.999666, 0.00730827, 0.00897011, 0.0231148, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.027086] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [12] , 1.02243, -0.00296375, -0.188548, -0.150343, -0.999666, 0.00730827, 0.00897011, 0.0231148, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.031458] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [13] , 1.02243, -0.00296375, -0.188548, -0.150343, -0.999666, 0.00730827, 0.00897011, 0.0231148, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.034098] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [14] , 1.03242, -0.00296245, -0.188542, -0.150342, -0.999666, 0.00731643, 0.00896998, 0.0231182, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.038314] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [15] , 1.03242, -0.00296245, -0.188542, -0.150342, -0.999666, 0.00731643, 0.00896998, 0.0231182, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.039765] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [16] , 1.03242, -0.00296245, -0.188542, -0.150342, -0.999666, 0.00731643, 0.00896998, 0.0231182, 0, 0, 0, 0, 0, 0, 
[2025-02-03 15:03:40.042587] [0x0000007f77e959a0] [MocapTag] [0x000071d2] [17] , 1.03242, -0.00296923, -0.188544, -0.150341, -0.999666, 0.00729517, 0.00893954, 0.0231309, 0, 0, 0, 0, 0, 0, 
