[2025-02-03 17:05:33.639958] [0x0000007f81912010] [MocapTag] [0x0000151c] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 17:05:33.644796] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [3] , 0, 0.0244532, -0.216681, -0.146754, -0.999765, -0.00195043, 0.00937357, 0.0194352, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.646905] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [4] , 0.645573, 0.0244532, -0.216681, -0.146754, -0.999765, -0.00195043, 0.00937357, 0.0194352, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.650819] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [5] , 0.645573, 0.0244532, -0.216681, -0.146754, -0.999765, -0.00195043, 0.00937357, 0.0194352, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.657433] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [6] , 0.655384, 0.0244553, -0.216682, -0.146754, -0.999765, -0.00194332, 0.00941831, 0.0194292, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.658022] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [7] , 0.655384, 0.0244553, -0.216682, -0.146754, -0.999765, -0.00194332, 0.00941831, 0.0194292, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.658781] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [8] , 0.655384, 0.0244553, -0.216682, -0.146754, -0.999765, -0.00194332, 0.00941831, 0.0194292, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.661300] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [9] , 0.655384, 0.024457, -0.216686, -0.146757, -0.999765, -0.00194691, 0.00942483, 0.0194315, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.664035] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [10] , 0.655384, 0.024457, -0.216686, -0.146757, -0.999765, -0.00194691, 0.00942483, 0.0194315, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.667968] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [11] , 0.665414, 0.024457, -0.216686, -0.146757, -0.999765, -0.00194691, 0.00942483, 0.0194315, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.670529] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [12] , 0.665414, 0.0244594, -0.216683, -0.146755, -0.999765, -0.00194292, 0.009436, 0.0194349, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.673898] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [13] , 0.665414, 0.0244594, -0.216683, -0.146755, -0.999765, -0.00194292, 0.009436, 0.0194349, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.676182] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [14] , 0.675404, 0.0244594, -0.216683, -0.146755, -0.999765, -0.00194292, 0.009436, 0.0194349, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.679050] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [15] , 0.675404, 0.0244594, -0.216683, -0.146755, -0.999765, -0.00194292, 0.009436, 0.0194349, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.683116] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [16] , 0.675404, 0.0244607, -0.216686, -0.146761, -0.999765, -0.00194867, 0.00942335, 0.0194381, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.686807] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [17] , 0.685415, 0.0244607, -0.216686, -0.146761, -0.999765, -0.00194867, 0.00942335, 0.0194381, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.689454] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [18] , 0.685415, 0.0244585, -0.216685, -0.146766, -0.999765, -0.00194895, 0.00943725, 0.0194385, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:05:33.693523] [0x0000007f7ceeb9a0] [MocapTag] [0x0000151c] [19] , 0.685415, 0.0244585, -0.216685, -0.146766, -0.999765, -0.00194895, 0.00943725, 0.0194385, 0, 0, 0, 0, 0, 0, 
