[2025-02-03 17:21:28.432235] [0x0000007fb8648010] [MocapTag] [0x00002d98] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 17:21:28.450387] [0x0000007f9f7fd9a0] [MocapTag] [0x00002d98] [3] , 0.446672, 0.0274522, -0.239119, -0.150471, -0.999295, 0.00171538, 0.00530102, 0.0371273, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:21:28.451016] [0x0000007f9f7fd9a0] [MocapTag] [0x00002d98] [4] , 0.446672, 0.0274494, -0.239141, -0.15048, -0.999296, 0.00172843, 0.00537162, 0.0371002, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:21:28.454561] [0x0000007f9f7fd9a0] [MocapTag] [0x00002d98] [5] , 0.446672, 0.0274494, -0.239141, -0.15048, -0.999296, 0.00172843, 0.00537162, 0.0371002, 0, -0.00222327, 0, 0, 0, 0, 
[2025-02-03 17:21:28.456090] [0x0000007f9f7fd9a0] [MocapTag] [0x00002d98] [6] , 0.446672, 0.0274494, -0.239141, -0.15048, -0.999296, 0.00172843, 0.00537162, 0.0371002, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:21:28.456930] [0x0000007f9f7fd9a0] [MocapTag] [0x00002d98] [7] , 0.446672, 0.0274494, -0.239141, -0.15048, -0.999296, 0.00172843, 0.00537162, 0.0371002, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:21:28.459582] [0x0000007f9f7fd9a0] [MocapTag] [0x00002d98] [8] , 0.456682, 0.0274314, -0.239132, -0.150455, -0.999295, 0.00168887, 0.00533268, 0.0371261, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:21:28.464249] [0x0000007f9f7fd9a0] [MocapTag] [0x00002d98] [9] , 0.456682, 0.0274314, -0.239132, -0.150455, -0.999295, 0.00168887, 0.00533268, 0.0371261, 0, 0, 0.00251516, 0, 0, 0, 
[2025-02-03 17:21:28.464845] [0x0000007f9f7fd9a0] [MocapTag] [0x00002d98] [10] , 0.456682, 0.0274314, -0.239132, -0.150455, -0.999295, 0.00168887, 0.00533268, 0.0371261, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:21:28.465454] [0x0000007f9f7fd9a0] [MocapTag] [0x00002d98] [11] , 0.456682, 0.0274188, -0.239138, -0.150462, -0.999292, 0.0017248, 0.00544503, 0.037173, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:21:28.466040] [0x0000007f9f7fd9a0] [MocapTag] [0x00002d98] [12] , 0.456682, 0.0274188, -0.239138, -0.150462, -0.999292, 0.0017248, 0.00544503, 0.037173, 0, 0, 0, 0, 0, 0, 
