[2025-02-03 17:33:53.472848] [0x0000007fbb71a010] [MocapTag] [0x000040d4] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 17:33:53.480872] [0x0000007faa7fb9a0] [MocapTag] [0x000040d4] [3] , 0.477833, 0.0366774, -0.196576, -0.150277, -0.999946, 0.000867149, -0.000604717, 0.0103678, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:33:53.483006] [0x0000007faa7fb9a0] [MocapTag] [0x000040d4] [4] , 0.477833, 0.0366736, -0.196575, -0.150271, -0.999946, 0.000851852, -0.000648446, 0.0103707, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:33:53.485919] [0x0000007faa7fb9a0] [MocapTag] [0x000040d4] [5] , 0.477833, 0.0366736, -0.196575, -0.150271, -0.999946, 0.000851852, -0.000648446, 0.0103707, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:33:53.488359] [0x0000007faa7fb9a0] [MocapTag] [0x000040d4] [6] , 0.487935, 0.0366736, -0.196575, -0.150271, -0.999946, 0.000851852, -0.000648446, 0.0103707, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:33:53.491061] [0x0000007faa7fb9a0] [MocapTag] [0x000040d4] [7] , 0.487935, 0.0366736, -0.196575, -0.150271, -0.999946, 0.000851852, -0.000648446, 0.0103707, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:33:53.493769] [0x0000007faa7fb9a0] [MocapTag] [0x000040d4] [8] , 0.487935, 0.0366757, -0.196574, -0.150265, -0.999946, 0.000874881, -0.0006023, 0.0103766, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:33:53.497395] [0x0000007faa7fb9a0] [MocapTag] [0x000040d4] [9] , 0.487935, 0.0366757, -0.196574, -0.150265, -0.999946, 0.000874881, -0.0006023, 0.0103766, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:33:53.499751] [0x0000007faa7fb9a0] [MocapTag] [0x000040d4] [10] , 0.497957, 0.0366757, -0.196574, -0.150265, -0.999946, 0.000874881, -0.0006023, 0.0103766, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:33:53.502397] [0x0000007faa7fb9a0] [MocapTag] [0x000040d4] [11] , 0.497957, 0.0366753, -0.196581, -0.15026, -0.999946, 0.000877551, -0.000632552, 0.0103721, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:33:53.505443] [0x0000007faa7fb9a0] [MocapTag] [0x000040d4] [12] , 0.497957, 0.0366753, -0.196581, -0.15026, -0.999946, 0.000877551, -0.000632552, 0.0103721, 0, 0, 0, 0, 0, 0, 
