[2025-02-03 17:46:46.202679] [0x0000007fb948d010] [MocapTag] [0x0000550f] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 17:46:46.209457] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [3] , 0.208525, 0.0201035, -0.216339, -0.149359, -0.999921, 0.0078212, 0.00833329, 0.00526429, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.213038] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [4] , 0.208525, 0.0200833, -0.216352, -0.149377, -0.999921, 0.00781688, 0.00829889, 0.00528167, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.214145] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [5] , 0.208525, 0.0200833, -0.216352, -0.149377, -0.999921, 0.00781688, 0.00829889, 0.00528167, -0.00201282, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.216746] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [6] , 0.21563, 0.0200833, -0.216352, -0.149377, -0.999921, 0.00781688, 0.00829889, 0.00528167, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.221165] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [7] , 0.21563, 0.0200691, -0.216357, -0.149384, -0.999921, 0.00782313, 0.00830017, 0.00530474, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.223626] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [8] , 0.21563, 0.0200691, -0.216357, -0.149384, -0.999921, 0.00782313, 0.00830017, 0.00530474, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.226261] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [9] , 0.225642, 0.0200691, -0.216357, -0.149384, -0.999921, 0.00782313, 0.00830017, 0.00530474, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.228824] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [10] , 0.225642, 0.0201069, -0.216333, -0.14937, -0.999921, 0.00779956, 0.00831723, 0.00526567, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.231484] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [11] , 0.225642, 0.0201069, -0.216333, -0.14937, -0.999921, 0.00779956, 0.00831723, 0.00526567, 0.00378138, 0.00235091, 0, 0, 0, 0, 
[2025-02-03 17:46:46.235809] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [12] , 0.225642, 0.0201069, -0.216333, -0.14937, -0.999921, 0.00779956, 0.00831723, 0.00526567, 0, 0, 0, 0, 0, 0, 
