[2025-02-03 17:53:05.855926] [0x0000007f808d0010] [MocapTag] [0x00005f2f] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 17:53:05.860559] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [3] , 0, -0.0307995, -0.203066, -0.149394, -0.999697, 0.00599753, 0.009945, 0.0216837, 0, 0, -0.00259881, 0, 0, 0, 
[2025-02-03 17:53:05.863374] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [4] , 0.860438, -0.0307995, -0.203066, -0.149394, -0.999697, 0.00599753, 0.009945, 0.0216837, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.865525] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [5] , 0.864304, -0.0308172, -0.203068, -0.149393, -0.999698, 0.00597057, 0.00994271, 0.0216703, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.869926] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [6] , 0.864304, -0.0308172, -0.203068, -0.149393, -0.999698, 0.00597057, 0.00994271, 0.0216703, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.872708] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [7] , 0.864304, -0.0308172, -0.203068, -0.149393, -0.999698, 0.00597057, 0.00994271, 0.0216703, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.875434] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [8] , 0.874315, -0.0308039, -0.203071, -0.149403, -0.999698, 0.00596013, 0.00998779, 0.0216573, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.878242] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [9] , 0.874315, -0.0308039, -0.203071, -0.149403, -0.999698, 0.00596013, 0.00998779, 0.0216573, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.883411] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [10] , 0.874315, -0.0308039, -0.203071, -0.149403, -0.999698, 0.00596013, 0.00998779, 0.0216573, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.885346] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [11] , 0.884306, -0.0308068, -0.20305, -0.149372, -0.999698, 0.00594873, 0.00995217, 0.0216714, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.888158] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [12] , 0.884306, -0.0308068, -0.20305, -0.149372, -0.999698, 0.00594873, 0.00995217, 0.0216714, 0, 0.00210501, 0.00310531, 0, 0, 0, 
[2025-02-03 17:53:05.890770] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [13] , 0.884306, -0.0308068, -0.20305, -0.149372, -0.999698, 0.00594873, 0.00995217, 0.0216714, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.893552] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [14] , 0.884306, -0.0308091, -0.203044, -0.149354, -0.999697, 0.00595001, 0.00997616, 0.0216836, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.896248] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [15] , 0.894302, -0.0308091, -0.203044, -0.149354, -0.999697, 0.00595001, 0.00997616, 0.0216836, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.898910] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [16] , 0.894302, -0.0308091, -0.203044, -0.149354, -0.999697, 0.00595001, 0.00997616, 0.0216836, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.902363] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [17] , 0.894302, -0.0308091, -0.203044, -0.149354, -0.999697, 0.00595001, 0.00997616, 0.0216836, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.904969] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [18] , 0.904302, -0.0307248, -0.20308, -0.149492, -0.999691, 0.00627753, 0.0102359, 0.0217427, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.907758] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [19] , 0.904302, -0.0307248, -0.20308, -0.149492, -0.999691, 0.00627753, 0.0102359, 0.0217427, 0.00843226, -0.00361553, -0.0138062, -0.0667334, 0.0504373, 0, 
[2025-02-03 17:53:05.910174] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [20] , 0.904302, -0.0307248, -0.20308, -0.149492, -0.999691, 0.00627753, 0.0102359, 0.0217427, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.913136] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [21] , 0.904302, -0.0307831, -0.203049, -0.149349, -0.999698, 0.00594618, 0.00995845, 0.0216793, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.917773] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [22] , 0.914321, -0.0307831, -0.203049, -0.149349, -0.999698, 0.00594618, 0.00995845, 0.0216793, -0.00583373, 0.00304132, 0.0143772, 0.0675917, -0.0539575, 0, 
[2025-02-03 17:53:05.920392] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [23] , 0.914321, -0.0307831, -0.203049, -0.149349, -0.999698, 0.00594618, 0.00995845, 0.0216793, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.923051] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [24] , 0.914321, -0.0307931, -0.203039, -0.149336, -0.999699, 0.00592355, 0.00992456, 0.0216586, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.925899] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [25] , 0.924323, -0.0307931, -0.203039, -0.149336, -0.999699, 0.00592355, 0.00992456, 0.0216586, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.929798] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [26] , 0.924323, -0.0307931, -0.203039, -0.149336, -0.999699, 0.00592355, 0.00992456, 0.0216586, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.933757] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [27] , 0.924323, -0.0307931, -0.203039, -0.149336, -0.999699, 0.00592355, 0.00992456, 0.0216586, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.935708] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [28] , 0.934331, -0.0307873, -0.203035, -0.149338, -0.999698, 0.00592144, 0.00996691, 0.0216659, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.938735] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [29] , 0.934331, -0.0307873, -0.203035, -0.149338, -0.999698, 0.00592144, 0.00996691, 0.0216659, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.941144] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [30] , 0.934331, -0.0307873, -0.203035, -0.149338, -0.999698, 0.00592144, 0.00996691, 0.0216659, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.943879] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [31] , 0.934331, -0.0307938, -0.203029, -0.149339, -0.999698, 0.00593111, 0.00996253, 0.0216462, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.949358] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [32] , 0.944324, -0.0307938, -0.203029, -0.149339, -0.999698, 0.00593111, 0.00996253, 0.0216462, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.952439] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [33] , 0.944324, -0.0307938, -0.203029, -0.149339, -0.999698, 0.00593111, 0.00996253, 0.0216462, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.952737] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [34] , 0.944324, -0.0307938, -0.203029, -0.149339, -0.999698, 0.00593111, 0.00996253, 0.0216462, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.955110] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [35] , 0.954321, -0.0307699, -0.203037, -0.14935, -0.999698, 0.0059576, 0.00996115, 0.0216645, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.958583] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [36] , 0.954321, -0.0307699, -0.203037, -0.14935, -0.999698, 0.0059576, 0.00996115, 0.0216645, 0.00239155, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.960693] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [37] , 0.954321, -0.0307699, -0.203037, -0.14935, -0.999698, 0.0059576, 0.00996115, 0.0216645, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.965175] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [38] , 0.964329, -0.0307889, -0.203037, -0.149349, -0.999698, 0.0059794, 0.00993405, 0.0216603, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.967936] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [39] , 0.964329, -0.0307889, -0.203037, -0.149349, -0.999698, 0.0059794, 0.00993405, 0.0216603, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.970853] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [40] , 0.964329, -0.0307889, -0.203037, -0.149349, -0.999698, 0.0059794, 0.00993405, 0.0216603, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.973420] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [41] , 0.964329, -0.0307862, -0.203043, -0.149359, -0.999698, 0.00599655, 0.00999281, 0.0216434, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:05.976244] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [42] , 0.974325, -0.0307862, -0.203043, -0.149359, -0.999698, 0.00599655, 0.00999281, 0.0216434, 0, 0, 0, 0, 0, 0, 
